Publication,Category,Format,Date,Category 2,Description,Category 3,URL
Executive Director's Report Feburary 2007,Civilian Complaint,February 2007 Executive Director's Report,14-Mar-07,Human Services,Executive Director's Report Feburary 2007,Report,http://www.nyc.gov/html/ccrb/pdf/ed_2007_02.pdf
Executive Director's Report March 2007,Civilian Complaint,March 2007 Executive Director's Report,10-Apr-07,Human Services,Executive Director's Report March 2007,Report,http://www.nyc.gov/html/ccrb/pdf/ed_2007_03.pdf
Executive Director's Report December 2006,Civilian Complaint,December 2006 Executive Director's Report,10-Jan-07,Human Services,Executive Director's Report December 2006,Report,http://www.nyc.gov/html/ccrb/pdf/ed_2006_12.pdf
Executive Director's Report November 2006,Civilian Complaint,November 2006 Executive Director's Report,13-Dec-06,Human Services,Executive Director's Report November 2006,Report,http://www.nyc.gov/html/ccrb/pdf/ed_2006_11.pdf
Executive Director's Report - October 2006,Civilian Complaint,October 2006 Executive Director's Report,08-Nov-06,Human Services,Executive Director's Report  October 2006,Report,http://www.nyc.gov/html/ccrb/pdf/ed_2006_10.pdf
Executive Director's Report - September 2006,Civilian Complaint,September 2006 Executive Director's Report,11-Oct-06,Human Services,Executive Director's Report  September 2006,Report,http://www.nyc.gov/html/ccrb/pdf/ed_2006_09.pdf
Executive Director's Report August 2006,Civilian Complaint,August 2006 Executive Director's Report,09-Aug-06,Human Services,Executive Director's Report August 2006,Report,http://www.nyc.gov/html/ccrb/pdf/ed_2006_08.pdf
Executive Director's Report July 2006,Civilian Complaint,July 2006 Executive Director's Report,12-Jul-06,Human Services,Executive Director's Report July 2006,Report,http://www.nyc.gov/html/ccrb/pdf/ed_2006_07.pdf
Executive Director's Report June 2006,Civilian Complaint,June 2006 Executive Director's Report,14-Jun-06,Human Services,Executive Director's Report June 2006,Report,http://www.nyc.gov/html/ccrb/pdf/ed_2006_06.pdf
Executive Director's Report May 2006,Civilian Complaint,May 2006 Executive Director's Report,14-Jun-06,Human Services,Executive Director's Report May 2006,Report,http://www.nyc.gov/html/ccrb/pdf/ed_2006_05.pdf
Executive Director's Report April 2006,Civilian Complaint,April 2006 Executive Director's Report,10-May-06,Human Services,Executive Director's Report April 2006,Report,http://www.nyc.gov/html/ccrb/pdf/ed_2006_04.pdf
Executive Director's Report March 2006,Civilian Complaint,March 2006 Executive Director's Report,12-Apr-06,Human Services,Executive Director's Report March 2006,Report,http://www.nyc.gov/html/ccrb/pdf/ed_2006_03.pdf
Semiannual Status Report January-December 2005,Civilian Complaint,January-December 2005 Semiannual Status Report,01-Jun-06,Human Services,Semiannual Status Report January-December 2005,Annual Report,http://www.nyc.gov/html/ccrb/pdf/ccrbann2005.pdf
Semiannual Status Report January-June 2005,Civilian Complaint,January-June 2005 Semiannual Status Report,01-Nov-06,Human Services,Semiannual Status Report January-June 2005,Serial Publication,http://www.nyc.gov/html/ccrb/pdf/ccrbsemi2005.pdf
Semiannual Status Report January-December 2004,Civilian Complaint,Semiannual Status Report January-December 2004,01-May-05,Human Services,Semiannual Status Report January-December 2004,Annual Report,http://www.nyc.gov/html/ccrb/pdf/ccrbann2004.pdf
Semiannual Status Report January - June 2004,Civilian Complaint,January-June Semiannual Status Report,01-Oct-04,Human Services,Semiannual Status Report January - June 2004,Serial Publication,http://www.nyc.gov/html/ccrb/pdf/ccrbsemi2004.pdf
Semiannual Status Report January - December 2003,Civilian Complaint,January - December 2003 Semiannual Status Report,01-Jun-03,Human Services,Semiannual Status Report January - December 2003,Annual Report,http://www.nyc.gov/html/ccrb/pdf/ccrbann2003.pdf
Semiannual Status Report January-June 2003,Civilian Complaint,January-June 2003 Semiannual Status Report,01-Oct-03,Human Services,Semiannual Status Report January-June 2003,Annual Report,http://www.nyc.gov/html/ccrb/pdf/ccrbsemi2003.pdf
Semiannual Status Report January - June 2006,Civilian Complaint,January - June 2006 Semiannual Status Report,06-Nov-06,Human Services,Semiannual Status Report January - June 2006,Serial Publication,http://www.nyc.gov/html/ccrb/pdf/ccrbsemi_2006.pdf
City Planning Commission Report (C 070136 PPQ),City Planning,58-03 Rockaway Beech Boulevard-Former Firehouse  - C 070136 PPQ,09-Apr-07,Housing and Buildings,City Planning Commission Report (C 070136 PPQ),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/070136.pdf
City Planning Commission Report (C 070135 PPK),City Planning,136 Wythe Avenue-Former Firehouse - C 070135 PPK  ,09-Apr-07,Housing and Buildings,City Planning Commission Report (C 070135 PPK),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/070135.pdf
City Planning Commission Report (C 070134 PPK),City Planning,299 Degraw Street-Former Firehouse - C 070134 PPK ,09-Apr-07,Housing and Buildings,City Planning Commission Report (C 070134 PPK),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/070134.pdf
City Planning Commission Report (C 070133 PPM),City Planning,120 East 125th Street-Former Firehouse  - C 070133 PPM,09-Apr-07,Housing and Buildings,City Planning Commission Report (C 070133 PPM),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/070133.pdf
Civil List,Citywide Admin Svcs,"The Civil List is the annual report of all City of New York employees listed by name, title, agency and salary.",01-Apr-07,Labor Relations,Civil List,Annual Report,http://www.nyc.gov/html/records/pdf/govpub/CIVIL_LIST_2006_PUBLIC.pdf
City Planning Commission Report (N 070369 HKQ),City Planning,Sohmer Piano Factory  - N 070369 HKQ,11-Apr-07,Housing and Buildings,City Planning Commission Report (N 070369 HKQ),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/070369.pdf
City Planning Commission Report (C 070311 HAX),City Planning,Grant Avenue Cooperative Apartments - C 070311 HAX,11-Apr-07,Housing and Buildings,City Planning Commission Report (C 070311 HAX),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/070311.pdf
City Planning Commission Report (C 070280 HAX),City Planning,Melrose Commons Site 5  - C 070280 HAX,11-Apr-07,Housing and Buildings,City Planning Commission Report (C 070280 HAX),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/070280.pdf
City Planning Commission Report (C 070272 HAX),City Planning,Fox Leggett Apartments  - C 070272 HAX,11-Apr-07,Housing and Buildings,City Planning Commission Report (C 070272 HAX),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/070272.pdf
City Planning Commission Report (C 070265 ZMX),City Planning,Clason Point/Harding Park Rezoning  - C 070265 ZMX,11-Apr-07,Housing and Buildings,City Planning Commission Report (C 070265 ZMX),Hearing - Minutes,http://www.nyc.gov/html/dcp/pdf/cpc/070265.pdf
City Planning Commission Report (C 070264 ZMX),City Planning,Park Stratton Rezoning  - C 070264 ZMX,11-Apr-07,Housing and Buildings,City Planning Commission Report (C 070264 ZMX),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/070264.pdf
City Planning Commission Report (C 070259 HAM),City Planning,The Savannah - C 070259 HAM,11-Apr-07,Housing and Buildings,City Planning Commission Report (C 070259 HAM),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/070259.pdf
City Planning Commission Report (C 070258 HAM),City Planning,West 146th Street Condominiums - C 070258 HAM,11-Apr-07,Housing and Buildings,City Planning Commission Report (C 070258 HAM),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/070258.pdf
City Planning Commission Report (C 070243 HAK  Gates Avenue Cooperative Apartments (C 070243 HAK  Gates Avenue Cooperative Apartments (C 070243 HAK)  ,City Planning,Gates Avenue Cooperative Apartments - C 070243 HAK  ,11-Apr-07,Housing and Buildings,City Planning Commission Report (C 070243 HAK  Gates Avenue Cooperative Apartments (C 070243 HAK  Gates Avenue Cooperative Apartments (C 070243 HAK)  ,Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/070243.pdf
"Economic Notes Vol XV, No2 - ",Comptroller,Economic Growth Tapering Off,18-Apr-07,Finance and Budget,"Economic Notes Vol XV, No2, April 2007- Economic Growth Tapering Off",Budget Report,http://comptroller.nyc.gov/bureaus/bud/econnotes-pdf/volXV-2-apr07.pdf
Audit Report on Department of Education Controls over Universal Pre-Kindergarten Payments to Non-Public Schools in Regions 6 and 7,Comptroller," AUDIT REPORT ON DEPARTMENT OF EDUCATION CONTROLS OVER UNIVERSAL PRE-KINDERGARTEN PAYMENTS TO NON-PUBLIC SCHOOLS IN REGIONS 6 AND 7

MD05-072A
March 21, 2007 ",21-Mar-07,Finance and Budget,Audit Report on Department of Education Controls over Universal Pre-Kindergarten Payments to Non-Public Schools in Regions 6 and 7,Audit Report,http://comptroller.nyc.gov/bureaus/audit/PDF_FILES/MD05_072A.pdf
 AUDIT REPORT ON THE DEPARTMENT OF HOUSING PRESERVATION AND DEVELOPMENT’S ADMINISTRATION OF THE J-51 TAX INCENTIVE PROGRAM,Comptroller," AUDIT REPORT ON THE DEPARTMENT OF HOUSING PRESERVATION AND DEVELOPMENT’S ADMINISTRATION OF THE J-51 TAX INCENTIVE PROGRAM

FR06-067A
MARCH 22, 2007 ",18-Apr-07,Finance and Budget, AUDIT REPORT ON THE DEPARTMENT OF HOUSING PRESERVATION AND DEVELOPMENT’S ADMINISTRATION OF THE J-51 TAX INCENTIVE PROGRAM,Audit Report,http://comptroller.nyc.gov/bureaus/audit/PDF_FILES/FR06_067A.pdf
AUDIT REPORT ON THE EFFICIENCY OF THE DEPARTMENT OF PARKS AND RECREATION IN ADDRESSING COMPLAINTS RELATED TO TREE REMOVALS,Comptroller,"AUDIT REPORT ON THE EFFICIENCY OF THE DEPARTMENT OF PARKS AND RECREATION IN ADDRESSING COMPLAINTS RELATED TO TREE REMOVALS

MG06-121A
March 26, 2007",18-Apr-07,Finance and Budget,AUDIT REPORT ON THE EFFICIENCY OF THE DEPARTMENT OF PARKS AND RECREATION IN ADDRESSING COMPLAINTS RELATED TO TREE REMOVALS,Audit Report,http://comptroller.nyc.gov/bureaus/audit/PDF_FILES/MG06_121A.pdf
Complete Audit Report without Agency Response (pdf 178 kb),Comptroller," AUDIT REPORT ON THE LICENSE FEES DUE FROM CENTRAL PARK BOATHOUSE, LLC, AND COMPLIANCE WITH CERTAIN PROVISIONS OF ITS LICENSE AGREEMENT

FP05-128A
MARCH 28, 2007 ",18-Apr-07,Finance and Budget,"AUDIT REPORT ON THE LICENSE FEES DUE FROM CENTRAL PARK BOATHOUSE, LLC, AND COMPLIANCE WITH CERTAIN PROVISIONS OF ITS LICENSE AGREEMENT",Audit Report,http://comptroller.nyc.gov/bureaus/audit/PDF_FILES/FP05_128A-Without-response.pdf
"Complete Audit Report with Agency Response (pdf 2,724 kb)",Comptroller," AUDIT REPORT ON THE LICENSE FEES DUE FROM CENTRAL PARK BOATHOUSE, LLC, AND COMPLIANCE WITH CERTAIN PROVISIONS OF ITS LICENSE AGREEMENT

FP05-128A
MARCH 28, 2007 ",18-Apr-07,Finance and Budget,"AUDIT REPORT ON THE LICENSE FEES DUE FROM CENTRAL PARK BOATHOUSE, LLC, AND COMPLIANCE WITH CERTAIN PROVISIONS OF ITS LICENSE AGREEMENT",Audit Report,http://comptroller.nyc.gov/bureaus/audit/PDF_FILES/FP05_128A_with_Reponse.pdf
Safeguarding Our Children: Safety Reforms Update,Children's Services,"Since the release of our Child Safety Action Plan, Safeguarding Our Children, in March 2006, Children’s Services has made substantial progress in our efforts to keep New York City’s children safe from harm.",01-Nov-06,Human Services,Safeguarding Our Children: Safety Reforms Update,Report,http://www.nyc.gov/html/acs/downloads/pdf/pub_safety_reform.pdf
Report of the Interagency Task Force on Child Welfare and Safety,Children's Services,"The Mayor’s Interagency Task Force on Child Welfare and Safety, created in January 2006 under the leadership of Deputy Mayor Linda Gibbs, released its second progress report in December, 2006. The progress report details an unprecedented city-wide effort ",11-Dec-06,Human Services,Report of the Interagency Task Force on Child Welfare and Safety,Audit Report,http://www.nyc.gov/html/acs/downloads/pdf/pub_interagency_report.pdf
Implementation Plan Update for Local Law 73,Children's Services,This implementation plan update presents the steps that the Administration for Children's Services has initiated during calendar year 2005 to ensure compliance with Local Law 73 of 2003. The update also provides data on the number of limited English profi,31-Mar-06,Human Services,Implementation Plan Update for Local Law 73,Annual Report,http://www.nyc.gov/html/acs/downloads/pdf/pub_local_law37.pdf
Immigration and Language Guidelines for Child Welfare Staff,Children's Services,The purpose of this pamphlet is to provide staff at the Administration for Children’s Services (ACS) with a brief overview of immigration and language issues for the purpose of maximizing child welfare services to meet the diverse needs of New York City’s,10-Feb-05,Human Services,Immigration and Language Guidelines for Child Welfare Staff,Guide - Manual,http://www.nyc.gov/html/acs/downloads/pdf/immigration_language_guide.pdf
Introduction to ACS ,Children's Services,"This booklet is an introduction to the Administration for Children’s Services (ACS), New York City’s children’s services agency. It describes the services ACS provides and where families and individuals can go for help or more information.",01-Feb-06,Human Services,Introduction to ACS ,Guide - Manual,http://www.nyc.gov/html/acs/downloads/pdf/pub_intro_acs_06.pdf
NYC Taxi and Limousine Commission 2006 Annual Report to the City Council,Taxi and Limousine,NYC Taxi and Limousine Commission 2006 Annual Report to the City Council provides an overview of the agency and its regulated industries for the calendar year 2006.,08-Jan-07,Transportation,NYC Taxi and Limousine Commission 2006 Annual Report to the City Council,Annual Report,http://www.nyc.gov/html/tlc/downloads/pdf/2006_annual_report.pdf
Part II,Transportation,This annual report describes the work of the Department of Transportation's Division of Bridges in maintaining more than 750 city bridges.,31-Mar-07,Transportation,2006 Bridges and Tunnels Annual Condition Report,Annual Report,http://www.nyc.gov/html/dot/downloads/pdf/bridgerpt06_2.pdf
Part III,Transportation,This annual report describes the work of the Department of Transportation's Division of Bridges in maintaining more than 750 city bridges.,31-Mar-07,Transportation,2006 Bridges and Tunnels Annual Condition Report,Annual Report,http://www.nyc.gov/html/dot/downloads/pdf/bridgerpt06_3.pdf
Part I	,Transportation,This annual report describes the work of the Department of Transportation's Division of Bridges in maintaining more than 750 city bridges.,31-Mar-07,Transportation,2006 Bridges and Tunnels Annual Condition Report,Annual Report,http://www.nyc.gov/html/dot/downloads/pdf/bridgerpt06_1.pdf
City Planning Commission Report (N 070392 PXQ),City Planning,Commission on Human Rights Office Space - N 070392 PXQ,25-Apr-07,Housing and Buildings,City Planning Commission Report (N 070392 PXQ),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/070392.pdf
City Planning Commission Report (N 070339 BDQ),City Planning,Bayside Village BID - N 070339 BDQ,25-Apr-07,Housing and Buildings,City Planning Commission Report (N 070339 BDQ),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/070339.pdf
City Planning Commission  Report (N 070391 PXM),City Planning,Tower 4 World Trade Center - N 070391 PXM,25-Apr-07,Housing and Buildings,City Planning Commission  Report (N 070391 PXM),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/070391.pdf
City Planning Commission Report (N070390HKM),City Planning,Keller Hotel - N 070390 HKM,25-Apr-07,Housing and Buildings,City Planning Commission Report (N070390HKM),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/070390.pdf
City Planning Commission Report (N 070389 HKM),City Planning,159 Charles Street House - N 070389 HKM,25-Apr-07,Housing and Buildings,City Planning Commission Report (N 070389 HKM),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/070389.pdf
City Planning Commission Report (N 070388 HKM),City Planning,354 West 11th Street House - N 070388 HKM,25-Apr-07,Housing and Buildings,City Planning Commission Report (N 070388 HKM),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/070388.pdf
City Planning Commission Report (C 070284 HAM),City Planning,West 128th Street Apartments - C 070284 HAM,25-Apr-07,Housing and Buildings,City Planning Commission Report (C 070284 HAM),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/070284.pdf
City Planning Commission Report (C 070283 HUM),City Planning,West 128th Street Apartments - C 070283 HUM,25-Apr-07,Housing and Buildings,City Planning Commission Report (C 070283 HUM),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/070283.pdf
