Organization Name,Zip Code,Main Phone #,Discipline Code,Council District,Community Board,Borough,Location 1
"Mexicanos Unidos de Queens, Inc.",11369,(718) 779-8508,Dance,Queens Council District #21,Queens Community Board #3,Queens,"94 28 32nd Avenue
East Elmhurst, NY
(40.76780899978547, -73.87618599958421)"
"MiShinnah Productions, Inc",10021,(917) 664-9696,"Multi-Discipline, Performing",Manhattan Council District #5,Manhattan Community Board #8,Manhattan,"435 76th Street
New York, NY
(40.629650117700585, -74.02445489944618)"
Michael Chekhov Theatre Company,10013,(212) 691-6969 x13,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"161 Sixth Avenue
New York, NY
(40.72582760755074, -74.00389424989481)"
"Midori Foundation, Inc.",10001,(212) 767-1300 x18,Music,Manhattan Council District #3,Manhattan Community Board #6,Manhattan,"352 Seventh Avenue
New York, NY
(40.74822971930058, -73.99265272452857)"
"Midtown Management Group, Inc.",10036,(212) 245-0710,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"630 Ninth Avenue
New York, NY
(40.75999274901747, -73.99144337685128)"
"Migrating Forms Festival, Inc",10276,(347) 834-7738,Film/Video/Audio,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,
"Millennium Film Workshop, Inc.",10003,(212) 673-0090,Film/Video/Audio,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,"66 4th Street
New York, NY
(40.573288017744225, -74.11881590637333)"
"Mind to Move, Inc.",11201,(917) 767-6350,Dance,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,"129 Columbia Heights
Brooklyn, NY
(40.69857538579133, -73.99616495121167)"
Mind-Builders Creative Arts Center,10467,(718) 652-6256 x11,"Multi-Discipline, Performing",Bronx Council District #11,Bronx Community Board #12,Bronx,"333 206th St
Bronx, NY
(40.874957427467635, -73.87848361866168)"
"Mint Theater Company, Inc.",10036,(212) 315-9434,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"311 43rd Street
New York, NY
(40.6513992439949, -74.01011306978462)"
"Mirror Theatre, Ltd.",10128,(646) 688-4365,Theater,Manhattan Council District #4,Manhattan Community Board #8,Manhattan,"286186 New
York, NY
(43.20390300022325, -76.94420299966868)"
"Misnomer, Inc.",11215,(917) 602-0478,Dance,Brooklyn Council District #39,Brooklyn Community Board #6,Brooklyn,"588 10th Street
Brooklyn, NY
(40.66567139726544, -73.98086970270636)"
"Momenta Art, Inc.",11211,(718) 218-8058,Visual Arts,Brooklyn Council District #34,Brooklyn Community Board #1,Brooklyn,"359 Bedford Avenue
Brooklyn, NY
(40.71158416148535, -73.96313307741411)"
Monica Bill Barnes & Company LLC,10014,(917) 903-0149,Dance,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,"41 Perry Street
New York, NY
(40.73561223122954, -74.00275211091764)"
Moose Hall Theatre Company,10034,(212) 304-8950,Theater,Manhattan Council District #7,Manhattan Community Board #12,Manhattan,"25 Indian Road
New York, NY
(40.87258796951221, -73.91899825032891)"
"More Art, Inc.",10038,(212) 260-7607,"Multi-Discipline, Non-Perform",Manhattan Council District #1,Manhattan Community Board #1,Manhattan,"71 Nassau Street
New York, NY
(40.756053999992105, -73.9869510002884)"
"Morris-Jumel Mansion, Inc.",10032,(212) 923-8008,Museum,Manhattan Council District #7,Manhattan Community Board #12,Manhattan,"65 Jumel Terrace
New York, NY
(40.83460060699457, -73.93890924005763)"
"Movement Research, Inc.",10113,(212) 598-0551 x2,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"49 New
York, NY
(43.20390300022325, -76.94420299966868)"
"Moving Theater, Inc.",10150,(917) 553-5645,"Multi-Discipline, Performing",Brooklyn Council District #37,Brooklyn Community Board #4,Brooklyn,"1449 New
York, NY
(43.20390300022325, -76.94420299966868)"
"Mud Bone Collective, Inc.",11202,(718) 404-9220,Theater,Brooklyn Council District #39,Brooklyn Community Board #6,Brooklyn,
Muller Works Foundation,10011,(212) 691-3803,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"131 24th Street
New York, NY
(40.66161271956531, -73.99832947118658)"
"Multicultural Music Group, Inc.",10451,(718) 884-5495,Music,Bronx Council District #17,Bronx Community Board #1,Bronx,"601 Walton Avenue
Bronx, NY
(40.82019159873797, -73.92791683910372)"
Municipal Art Society of New York,10012,(212) 935-3960 x232,Architecture/Design,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"594 Broadway
New York, NY
(40.87333788079353, -73.91157107750263)"
Museum for African Art,11101,(718) 784-7700 x107,Museum,Queens Council District #26,Queens Community Board #1,Queens,"36 01 43rd Avenue
Long Island City, NY
(40.74468399996658, -73.94850800004417)"
"Museum of African American Cinema, Inc.",10027,(212) 749-5298,Museum,Manhattan Council District #9,Manhattan Community Board #10,Manhattan,"163 125th Street
New York, NY
(40.808538240407465, -73.94721063098847)"
Museum of Arts & Design,10019,(212) 956-3535 x133,Museum,Manhattan Council District #6,Manhattan Community Board #5,Manhattan,"2 Columbus Circle
New York, NY
(40.76773515549789, -73.98226485871659)"
Museum of Biblical Art,10023,(212) 408-1236,Museum,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,"1865 Broadway
New York, NY
(40.770245122577876, -73.98223857542928)"
Museum of Chinese in the Americas,10013,(212) 619-4785 x108,Museum,Manhattan Council District #1,Manhattan Community Board #3,Manhattan,"70 Mulberry Street
New York, NY
(40.716141909295175, -73.99917280924103)"
Museum of Comic and Cartoon Art,10012,(212) 254-3511,Museum,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,"594 Broadway
New York, NY
(40.87333788079353, -73.91157107750263)"
"Museum of Contemporary African Diasporan Arts, Inc.",11217,(718) 230-0492 x113,Museum,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,"80 Hanson Place
Brooklyn, NY
(40.68548942065365, -73.97430272490843)"
"Museum of Contemporary African Diasporian Arts, Inc.",11217,(718) 230-0492,Visual Arts,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,
Museum of Jewish Heritage ? A Living Memorial to the Holocaust,10280,(646) 437-4200,Museum,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,"36 Battery Place
New York, NY
(40.70550187844388, -74.01797860553326)"
Museum of Modern Art,10019,(212) 708-9773,Museum,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"11 53rd Street
New York, NY
(40.58290084765158, -73.98651861551072)"
Museum of the City of New York,10029,(212) 534-1672,Museum,Manhattan Council District #8,Manhattan Community Board #11,Manhattan,"1220 Fifth Avenue
New York, NY
(40.79264723432772, -73.9523091382942)"
"Music Associates of New York, Ltd.",11360,(718) 352-3995,Music,,Queens Community Board #11,Queens,"604565 Bay
Terrace, NY
"
"Music Before 1800, Inc.",10027,(212) 666-0675,Music,Manhattan Council District #9,Manhattan Community Board #1,Manhattan,"529 121 Street
New York, NY
(40.81037543207705, -73.95953124154522)"
"Music Outreach/Learning Through Music, Inc.",10025,(212) 316-2000,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,"677 End Avenue
New York, NY
(40.756053999992105, -73.9869510002884)"
"Music at the Anthology, Inc.",11201,(212) 563-5124,Music,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,"293 Warren Street
Brooklyn, NY
(40.68577815162295, -73.99210155173064)"
Music from China,10038,(212) 941-8733,Music,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,"170 Park Row
New York, NY
(40.71299591306096, -74.00133148507007)"
Music in the Center,10024,(917) 459-6527,Music,Bronx Council District #15,Bronx Community Board #6,Manhattan,"2350 Broadway
New York, NY
(40.787916800453615, -73.9766987517288)"
"Music-Theatre Group, Inc.",11201,(718) 797-1145,"Multi-Discipline, Performing",Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"10 Jay St
Brooklyn, NY
(40.70450675430166, -73.98660036975693)"
"Musica De Camara, Inc.",10029,(212) 410-5612,Music,Manhattan Council District #8,Manhattan Community Board #11,Manhattan,"1215 Fifth Avenue
New York, NY
(40.79189180382315, -73.95284873151178)"
Musica Reginae Productions Ltd.,11378,(718) 894-2517,Music,Queens Council District #19,Queens Community Board #11,Queens,"59 56 57th Drive
Maspeth, NY
(40.723160000233804, -73.90847700031333)"
"Musica Sacra of New York, Inc.",10021,(212) 861-5617,Music,Manhattan Council District #5,Manhattan Community Board #8,Manhattan,"974 New
York, NY
(43.20390300022325, -76.94420299966868)"
"Musical Chairs Chamber Ensemble, Inc.",10301,(718) 815-5786,Music,Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island,"850 Howard Avenue
Staten Island, NY
(40.61275315799477, -74.09837577355162)"
Musicals Tonight! Inc.,10024,(212) 362-5620,Theater,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,"150 79th Street
New York, NY
(40.62953931538664, -74.03325641949085)"
"Musicians For Harmony, Inc.",10128,(212) 996-8010,Music,Manhattan Council District #4,Manhattan Community Board #8,Manhattan,"345 93rd Street
New York, NY
(40.618296383062805, -74.03181865156438)"
Myrtle Avenue Revitalization Project,11205,(718) 230-1689,Visual Arts,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,"472 Myrtle Avenue
Brooklyn, NY
(40.693364475386346, -73.96644509280745)"
"NURTUREart Non-Profit, Inc.",11211,(718) 782-7755,Visual Arts,Brooklyn Council District #34,Brooklyn Community Board #1,Brooklyn,"910 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
"NW&D, Inc.",10013,(212) 645-6462,Dance,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,
"NY Artists Unlimited, Inc.",10011,(212) 242-6036,Theater,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,"212 14th Street
New York, NY
(40.60485868878581, -74.01013263730987)"
NY JAZZ Initiative,10036,(646) 395-9581,Music,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"149 46th Street
New York, NY
(40.589408110516494, -73.98762768075086)"
NY United Jewish Association Inc,11234,(718) 407-1832,Dance,Brooklyn Council District #41,Brooklyn Community Board #18,Brooklyn,"340753 New
York City, NY
"
NY Writers Coalition,11217,(718) 398-2883,Literature,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,"80 Hanson Place
Brooklyn, NY
(40.68548942065365, -73.97430272490843)"
NYC KidsFest,10026,(646) 229-1900,"Multi-Discipline, Performing",Manhattan Council District #9,Brooklyn Community Board #10,Manhattan,"61 Lenox Avenue
New York, NY
(40.80022851903476, -73.95108606033432)"
"Nai-Ni Chen Dance Company, Inc.",10010,(800) 650-0246,Dance,Manhattan Council District #7,Manhattan Community Board #9,Manhattan,"1133 Broadway
New York, NY
(40.87333788079353, -73.91157107750263)"
"Naked Angels, Ltd.",10011,(212) 343-7394,Theater,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,"191 7th Avenue
New York, NY
(40.743121570174196, -73.99633994484873)"
"Narrows Community Theater, Inc.",11209,(718) 836-2880,Theater,Brooklyn Council District #43,Brooklyn Community Board #11,Brooklyn,"97 28 Third Avenue
Brooklyn, NY
(40.58842980861106, -73.98627020289464)"
National Academy of Design,10128,(212) 369-4880 x208,Museum,Manhattan Council District #4,Manhattan Community Board #8,Manhattan,"1083 Fifth Avenue
New York, NY
(40.78367200047529, -73.9588292230066)"
"National Alliance for Musical Theatre, Inc.",10018,(212) 714-6668 x11,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"520 Eighth Avenue
New York, NY
(40.75376054978079, -73.99232896859803)"
National Asian American Theater Festival,10018,(212) 224-0447,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"520 8th Avenue
New York, NY
(40.75376054978079, -73.99232896859803)"
"National Asian American Theatre Co., Inc.",10018,(212) 244-0447,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"520 Eighth Avenue
New York, NY
(40.75376054978079, -73.99232896859803)"
"National Black Theatre Workshop, Inc.",10035,(212) 234-2468,Theater,Manhattan Council District #9,Manhattan Community Board #11,Manhattan,"2031 33 Fifth Avenue
New York, NY
(40.756053999992105, -73.9869510002884)"
"National Black Touring Circuit, Inc.",10032,(212) 283-0974,Theater,Manhattan Council District #7,Manhattan Community Board #6,Manhattan,"790 Riverside Drive
New York, NY
(40.83488839004394, -73.94720098916775)"
"National Book Foundation, Inc.",10004,(212) 685-0261,Literature,Manhattan Council District #1,Manhattan Community Board #1,Brooklyn,"90 Broad Street
New York, NY
(40.7037852246126, -74.01159244646561)"
National Choral Council,10019,(212) 333-5333,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,"1650 Broadway
New York, NY
(40.87333788079353, -73.91157107750263)"
National Council of Jewish Women New York Section,10017,(212) 799-7205 x18,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #6,Manhattan Community Board #7,Manhattan,"820 Second Avenue
New York, NY
(40.75090969894791, -73.97140174497622)"
"National Dance Institute, Inc.",10012,(212) 226-0083 x216,Dance,Manhattan Council District #7,Manhattan Community Board #2,Manhattan,"594 Broadway
New York, NY
(40.87333788079353, -73.91157107750263)"
National Guild of Community Schools of the Arts,10018,(212) 268-3337 x15,"Multi-Discipline, Non-Perform",Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"520 Eighth Avenue
New York, NY
(40.75376054978079, -73.99232896859803)"
National Museum of Catholic Art and History,10029,(212) 828-5209,Museum,Manhattan Council District #8,Manhattan Community Board #11,Manhattan,"443 115th Street
New York, NY
(40.80575728272106, -73.96054601206639)"
"National Music Theater Network, Inc.",10019,(212) 664-0979 x13,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"250 49th Street
New York, NY
(40.585590650769085, -73.98885104918438)"
"National Theater Workshop of the Handicapped, Inc.",10013,(212) 206-7789,Theater,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,"535 Greenwich Street
New York, NY
(40.726933773646806, -74.00892146003861)"
"National Video Resources, Inc.",10012,(212) 274-8080,Film/Video/Audio,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,"73 Spring Street
New York, NY
(40.72257313791648, -73.99771120394071)"
"Negro Ensemble Company, Inc.",10036,(212) 582-5860,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"303 42nd Street
New York, NY
(40.652042270824765, -74.00966168052064)"
"New 42nd Street, Inc.",10036,(646) 223-3001,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"229 42nd Street
New York, NY
(40.653201232081436, -74.01159033211097)"
New Africa Live,10011,(917) 687-8774,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #9,Manhattan Community Board #10,Manhattan,"193 New
York, NY
(43.20390300022325, -76.94420299966868)"
"New American Cinema Group, Inc.",10016,(212) 267-5665,Film/Video/Audio,Manhattan Council District #2,Manhattan Community Board #6,Manhattan,"475 Park Avenue
New York, NY
(40.762246998833035, -73.97011536015707)"
New Art Publications,11217,(718) 636-9100,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,"80 Hanson Place
Brooklyn, NY
(40.68548942065365, -73.97430272490843)"
"New Dance Alliance, Inc.",10013,(212) 226-7624,Dance,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,"182 Duane Street
New York, NY
(40.717382973695635, -74.01002762613467)"
"New Dramatists, Inc.",10036,(212) 757-6960 x12,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"424 44th Street
New York, NY
(40.64943111414564, -74.00847616850508)"
"New England Dinosaur, Inc.",10019,(212) 757-9669,Dance,Manhattan Council District #4,Manhattan Community Board #5,Manhattan,"130 56th Street
New York, NY
(40.646156831375365, -74.02120574315781)"
"New Federal Theatre, Inc.",10002,(212) 353-1176,Theater,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,"292 Henry Street
New York, NY
(40.713928892080325, -73.98353286370146)"
"New Festival, Inc.",11201,(212) 571-2170,Film/Video/Audio,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,"68 Jay Street
Brooklyn, NY
(40.70276560150608, -73.98670836139206)"
