Demographic,DBN,NAME,Total Cohort  - June,Total Math/ELA APM - June,% of Cohort - June,Total Cohort  - August,Total Math/ELA APM - August,% of Cohort - August
Male,10X243,WEST BRONX ACADEMY FOR THE FUTURE,35,2,5.7%,35,2,5.7%
Male,10X268,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,70,1,1.4%,70,1,1.4%
Male,10X284,BRONX SCHOOL OF LAW AND FINANCE,40,4,10%,40,4,10%
Male,10X319,PROVIDING URBAN LEARNERS SUCCESS IN E,36,1,2.8%,36,1,2.8%
Male,10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,44,5,11.4%,44,5,11.4%
Male,10X368,IN-TECH ACADEMY (M.S. / HIGH SCHOOL 3,64,10,15.6%,64,11,17.2%
Male,10X374,KNOWLEDGE AND POWER PREPARATORY ACADE,1,s,s,1,s,s
Male,10X397,ENGLISH LANGUAGE LEARNERS AND INTERNA,2,s,s,2,s,s
Male,10X433,HIGH SCHOOL FOR TEACHING AND THE PROF,51,1,2%,51,1,2%
Male,10X434,BELMONT PREPARATORY HIGH SCHOOL,52,0,0%,52,0,0%
Male,10X437,FORDHAM HIGH SCHOOL FOR THE ARTS,32,3,9.4%,32,3,9.4%
Male,10X438,FORDHAM LEADERSHIP ACADEMY FOR BUSINE,88,3,3.4%,88,3,3.4%
Male,10X439,BRONX HIGH SCHOOL FOR LAW AND COMMUNI,46,2,4.3%,46,2,4.3%
Male,10X440,DEWITT CLINTON HIGH SCHOOL,487,70,14.4%,487,71,14.6%
Male,10X442,CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC,40,11,27.5%,40,11,27.5%
Male,10X445,BRONX HIGH SCHOOL OF SCIENCE,383,373,97.4%,383,376,98.2%
Male,10X475,JOHN F. KENNEDY HIGH SCHOOL,314,8,2.5%,314,8,2.5%
Male,10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATI,45,17,37.799999999999997%,45,17,37.799999999999997%
Male,10X546,BRONX THEATRE HIGH SCHOOL,36,1,2.8%,36,1,2.8%
Male,10X549,DISCOVERY HIGH SCHOOL,50,4,8%,50,4,8%
Male,10X660,GRACE DODGE CAREER AND TECHNICAL EDUC,130,6,4.6%,130,6,4.6%
Male,10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LE,40,37,92.5%,40,38,95%
Male,11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,20,s,s,20,s,s
Male,11X253,BRONX HIGH SCHOOL FOR WRITING AND COM,44,0,0%,44,1,2.3%
Male,11X265,BRONX LAB SCHOOL,55,3,5.5%,55,3,5.5%
Male,11X270,ACADEMY FOR SCHOLARSHIP AND ENTRENEURSHIP,36,1,2.8%,36,1,2.8%
Male,11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLO,71,9,12.7%,71,9,12.7%
Male,11X288,COLLEGIATE INSTITUTE FOR MATH AND SCI,65,15,23.1%,65,15,23.1%
Male,11X290,BRONX ACADEMY OF HEALTH CAREERS,35,2,5.7%,35,2,5.7%
Male,11X299,ASTOR COLLEGIATE ACADEMY,70,3,4.3%,70,3,4.3%
Male,11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,215,8,3.7%,215,8,3.7%
Male,11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,54,8,14.8%,54,8,14.8%
Male,11X425,EVANDER CHILDS HIGH SCHOOL,1,s,s,1,s,s
Male,11X455,HARRY S TRUMAN HIGH SCHOOL,298,23,7.7%,298,24,8.1%
Male,11X513,NEW WORLD HIGH SCHOOL,32,5,15.6%,32,5,15.6%
Male,11X514,THE BRONXWOOD PREPARATORY ACADEMY,55,2,3.6%,55,2,3.6%
Male,11X541,GLOBAL ENTERPRISE HIGH SCHOOL,76,4,5.3%,76,4,5.3%
Male,11X542,PELHAM PREPARATORY ACADEMY,49,13,26.5%,49,13,26.5%
Male,11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,53,3,5.7%,53,3,5.7%
Male,11X545,BRONX AEROSPACE HIGH SCHOOL,56,5,8.9%,56,5,8.9%
Male,12X248,METROPOLITAN HIGH SCHOOL  THE,46,1,2.2%,46,1,2.2%
Male,12X251,EXPLORATIONS ACADEMY,29,0,0%,29,0,0%
Male,12X262,PERFORMANCE CONSERVATORY HIGH SCHOOL,20,s,s,20,s,s
Male,12X267,BRONX LATIN,.,.,.,.,.,.
Male,12X271,EAST BRONX ACADEMY FOR THE FUTURE,50,1,2%,50,1,2%
Male,12X278,PEACE AND DIVERSITY ACADEMY,46,2,4.3%,46,2,4.3%
Male,12X480,BRONX REGIONAL HIGH SCHOOL,44,0,0%,44,0,0%
Male,12X550,HIGH SCHOOL OF WORLD CULTURES,21,1,4.8%,21,1,4.8%
Male,12X680,BRONX COALITION COMMUNITY HIGH SCHOOL,75,2,2.7%,75,2,2.7%
Male,12X690,MONROE ACADEMY FOR BUSINESS/LAW,75,1,1.3%,75,1,1.3%
Male,12X692,MONROE ACADEMY FOR VISUAL ARTS & DESI,51,1,2%,51,1,2%
Male,13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOO,26,2,7.7%,26,2,7.7%
Male,13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC A,43,3,7%,43,3,7%
Male,13K412,BROOKLYN COMMUNITY HIGH SCHOOL OF COM,43,0,0%,43,1,2.3%
Male,13K419,SCIENCE SKILLS CENTER HIGH SCHOOL FOR,143,11,7.7%,143,12,8.4%
Male,13K430,BROOKLYN TECHNICAL HIGH SCHOOL,624,522,83.7%,624,549,88%
Male,13K483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND,26,3,11.5%,26,3,11.5%
Male,13K499,ACORN COMMUNITY HIGH SCHOOL,90,3,3.3%,90,3,3.3%
Male,13K509,FREEDOM ACADEMY HIGH SCHOOL,32,7,21.9%,32,7,21.9%
Male,13K553,BROOKLYN ACADEMY HIGH SCHOOL,26,0,0%,26,0,0%
Male,13K575,BEDFORD STUYVESANT PREPARATORY HIGH S,19,s,s,19,s,s
Male,13K595,BEDFORD ACADEMY HIGH SCHOOL,35,11,31.4%,35,11,31.4%
Male,13K605,GEORGE WESTINGHOUSE CAREER AND TECHNI,160,4,2.5%,160,4,2.5%
Male,13K616,BROOKLYN HIGH SCHOOL FOR LEADERSHIP A,51,0,0%,51,0,0%
Male,13K670,BENJAMIN BANNEKER ACADEMY,95,27,28.4%,95,27,28.4%
Male,14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,50,2,4%,50,3,6%
Male,14K322,FOUNDATIONS ACADEMY,25,2,8%,25,2,8%
Male,14K404,ACADEMY FOR YOUNG WRITERS,32,1,3.1%,32,1,3.1%
Male,14K449,BROOKLYN LATIN SCHOOL  THE,21,16,76.2%,21,17,81%
Male,14K454,GREEN SCHOOL: AN ACADEMY FOR ENVIRONM,48,1,2.1%,48,1,2.1%
Male,14K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL,105,4,3.8%,105,4,3.8%
Male,14K477,SCHOOL FOR LEGAL STUDIES,68,7,10.3%,68,7,10.3%
Male,14K478,THE HIGH SCHOOL FOR ENTERPRISE  BUSIN,111,8,7.2%,111,8,7.2%
Male,14K488,BROOKLYN PREPARATORY HIGH SCHOOL,32,4,12.5%,32,4,12.5%
Male,14K558,WILLIAMSBURG HIGH SCHOOL FOR ARCHITEC,81,12,14.8%,81,12,14.8%
Male,14K561,WILLIAMSBURG PREPARATORY SCHOOL,49,8,16.3%,49,9,18.399999999999999%
Male,14K586,LYONS COMMUNITY SCHOOL,1,s,s,1,s,s
Male,14K610,AUTOMOTIVE HIGH SCHOOL,218,3,1.4%,218,3,1.4%
Male,15K027,AGNES Y. HUMPHREY SCHOOL FOR LEADERSH,.,.,.,.,.,.
Male,15K462,SECONDARY SCHOOL FOR LAW,36,1,2.8%,36,1,2.8%
Male,15K463,SECONDARY SCHOOL FOR JOURNALISM,31,2,6.5%,31,2,6.5%
Male,15K464,PARK SLOPE COLLEGIATE,35,0,0%,35,0,0%
Male,15K497,SCHOOL FOR INTERNATIONAL STUDIES,35,5,14.3%,35,5,14.3%
Male,15K498,ACORN HS FOR SOCIAL JUSTICE,38,4,10.5%,38,4,10.5%
Male,15K519,COBBLE HILL SCHOOL OF AMERICAN STUDIE,66,1,1.5%,66,1,1.5%
Male,15K520,PACIFIC HIGH SCHOOL,46,1,2.2%,46,1,2.2%
Male,15K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL,64,0,0%,64,0,0%
Male,15K530,METROPOLITAN CORPORATE ACADEMY HIGH S,40,0,0%,40,0,0%
Male,15K656,BROOKLYN HIGH SCHOOL OF THE ARTS,40,4,10%,40,5,12.5%
Male,15K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,24,0,0%,24,0,0%
Male,16K393,FREDERICK DOUGLASS ACADEMY IV SECONDA,45,3,6.7%,45,3,6.7%
Male,16K455,BOYS AND GIRLS HIGH SCHOOL,316,5,1.6%,316,5,1.6%
Male,17K382,ACADEMY FOR COLLEGE PREPARATION AND C,36,8,22.2%,36,8,22.2%
Male,17K408,ACADEMY OF  HOSPITALITY AND TOURISM,40,3,7.5%,40,3,7.5%
Male,17K489,W.E.B. DUBOIS ACADEMIC HIGH SCHOOL,33,1,3%,33,1,3%
Male,17K524,INTERNATIONAL HIGH SCHOOL AT PROSPECT,47,3,6.4%,47,3,6.4%
Male,17K528,THE HIGH SCHOOL FOR GLOBAL CITIZENSHI,47,3,6.4%,47,3,6.4%
Male,17K531,SCHOOL FOR HUMAN RIGHTS  THE,33,2,6.1%,33,2,6.1%
Male,17K533,SCHOOL FOR DEMOCRACY AND  LEADERSHIP,24,0,0%,24,3,12.5%
Male,17K537,HIGH SCHOOL FOR YOUTH AND COMMUNITY D,52,5,9.6%,52,5,9.6%
Male,17K539,HIGH SCHOOL FOR SERVICE & LEARNING AT,61,2,3.3%,61,2,3.3%
Male,17K543,SCIENCE  TECHNOLOGY AND RESEARCH EARL,33,11,33.299999999999997%,33,11,33.299999999999997%
Male,17K544,INTERNATIONAL ARTS BUSINESS SCHOOL,43,3,7%,43,3,7%
Male,17K546,HIGH SCHOOL FOR PUBLIC SERVICE: HEROE,19,s,s,19,s,s
Male,17K547,BROOKLYN ACADEMY OF SCIENCE AND THE,57,9,15.8%,57,9,15.8%
Male,17K548,BROOKLYN SCHOOL FOR MUSIC & THEATRE,29,1,3.4%,29,1,3.4%
Male,17K568,BROWNSVILLE ACADEMY HIGH SCHOOL,35,0,0%,35,0,0%
Male,17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHO,80,20,25%,80,20,25%
Male,17K600,CLARA BARTON HIGH SCHOOL,111,21,18.899999999999999%,111,23,20.7%
Male,17K625,PAUL ROBESON HIGH SCHOOL,171,10,5.8%,171,10,5.8%
Male,18K415,SAMUEL J. TILDEN HIGH SCHOOL,103,1,1%,103,1,1%
Male,18K500,CANARSIE HIGH SCHOOL,223,5,2.2%,223,5,2.2%
Male,18K515,SOUTH SHORE HIGH SCHOOL,77,1,1.3%,77,1,1.3%
Male,18K563,IT TAKES A VILLAGE ACADEMY,3,s,s,3,s,s
Male,18K566,BROOKLYN GENERATION SCHOOL,1,s,s,1,s,s
Male,18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL,2,s,s,2,s,s
Male,18K569,KURT HAHN EXPEDITIONARY LEARNING SCHO,5,s,s,5,s,s
Male,18K576,VICTORY COLLEGIATE HIGH SCHOOL,3,s,s,3,s,s
Male,18K578,BROOKLYN BRIDGE ACADEMY,35,0,0%,35,0,0%
Male,18K589,ARTS & MEDIA PREPARATORY ACADEMY,2,s,s,2,s,s
Male,18K629,CULTURAL ACADEMY FOR THE ARTS AND SCI,2,s,s,2,s,s
Male,18K635,OLYMPUS ACADEMY,52,0,0%,52,0,0%
Male,18K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,31,0,0%,31,0,0%
Male,19K409,EAST NEW YORK FAMILY ACADEMY,38,1,2.6%,38,1,2.6%
Male,19K420,FRANKLIN K. LANE HIGH SCHOOL,249,5,2%,249,5,2%
Male,19K435,THOMAS JEFFERSON HIGH SCHOOL,1,s,s,1,s,s
Male,19K502,FDNY HIGH SCHOOL FOR FIRE AND LIFE SA,67,1,1.5%,67,1,1.5%
Male,19K504,HIGH SCHOOL FOR CIVIL RIGHTS,52,1,1.9%,52,1,1.9%
Male,19K507,PERFORMING ARTS AND TECHNOLOGY HIGH S,46,2,4.3%,46,2,4.3%
Male,19K510,WORLD ACADEMY FOR TOTAL COMMUNITY HEA,38,1,2.6%,38,3,7.9%
Male,19K583,MULTICULTURAL HIGH SCHOOL,.,.,.,.,.,.
Male,19K615,TRANSIT TECH CAREER AND TECHNICAL EDU,278,29,10.4%,278,31,11.2%
Male,19K618,ACADEMY OF INNOVATIVE TECHNOLOGY,.,.,.,.,.,.
Male,19K639,BROOKLYN LAB SCHOOL,.,.,.,.,.,.
Male,19K659,CYPRESS HILLS COLLEGIATE PREPARATORY,42,1,2.4%,42,1,2.4%
Male,19K660,W. H. MAXWELL CAREER AND TECHNICAL ED,74,3,4.1%,74,3,4.1%
Male,20K445,NEW UTRECHT HIGH SCHOOL,324,75,23.1%,324,78,24.1%
Male,20K485,HIGH SCHOOL OF  TELECOMMUNICATION ART,162,58,35.799999999999997%,162,58,35.799999999999997%
Male,20K490,FORT HAMILTON HIGH SCHOOL,541,142,26.2%,541,145,26.8%
Male,20K505,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,491,99,20.2%,491,100,20.399999999999999%
Male,21K337,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,42,3,7.1%,42,3,7.1%
Male,21K344,RACHEL CARSON HIGH SCHOOL FOR COASTAL,48,11,22.9%,48,11,22.9%
Male,21K348,HIGH SCHOOL OF SPORTS MANAGEMENT,47,5,10.6%,47,5,10.6%
Male,21K400,LAFAYETTE HIGH SCHOOL,40,3,7.5%,40,3,7.5%
Male,21K410,ABRAHAM LINCOLN HIGH SCHOOL,334,49,14.7%,334,52,15.6%
Male,21K525,EDWARD R. MURROW HIGH SCHOOL,406,135,33.299999999999997%,406,138,34%
Male,21K540,JOHN DEWEY HIGH SCHOOL,274,69,25.2%,274,69,25.2%
Male,21K559,LIFE ACADEMY HIGH SCHOOL FOR FILM AND,.,.,.,.,.,.
Male,21K572,EXPEDITIONARY LEARNING SCHOOL FOR COM,1,s,s,1,s,s
Male,21K620,WILLIAM E. GRADY CAREER AND TECHNICAL,240,5,2.1%,240,7,2.9%
Male,21K690,BROOKLYN STUDIO SECONDARY SCHOOL,63,12,19%,63,12,19%
Male,21K728,LIBERATION DIPLOMA PLUS,37,0,0%,37,0,0%
Male,22K405,MIDWOOD HIGH SCHOOL,370,184,49.7%,370,193,52.2%
Male,22K425,JAMES MADISON HIGH SCHOOL,580,166,28.6%,580,170,29.3%
Male,22K495,SHEEPSHEAD BAY HIGH SCHOOL,268,14,5.2%,268,14,5.2%
Male,22K535,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE,98,74,75.5%,98,74,75.5%
Male,22K555,BROOKLYN COLLEGE ACADEMY,44,11,25%,44,11,25%
Male,23K493,BROOKLYN COLLEGIATE: A COLLEGE BOARD,34,3,8.800000000000001%,34,3,8.800000000000001%
Male,23K514,FREDERICK DOUGLASS ACADEMY VII HIGH S,37,2,5.4%,37,2,5.4%
Male,23K643,BROOKLYN DEMOCRACY ACADEMY,39,1,2.6%,39,1,2.6%
Male,23K645,EBC/ENY HIGH SCHOOL FOR PUBLIC SAFETY,42,1,2.4%,42,1,2.4%
Male,23K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,49,1,2%,49,1,2%
Male,23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,39,1,2.6%,39,1,2.6%
Male,23K697,TEACHERS PREPARATORY HIGH SCHOOL,44,7,15.9%,44,7,15.9%
Male,24Q264,ACADEMY OF FINANCE AND  ENTERPRISE,41,6,14.6%,41,6,14.6%
Male,24Q267,HIGH SCHOOL OF APPLIED COMMUNICATION,47,5,10.6%,47,5,10.6%
Male,24Q296,PAN AMERICAN INTERNATIONAL HIGH SCHOO,1,s,s,1,s,s
Male,24Q299,BARD HIGH SCHOOL EARLY COLLEGE II,15,s,s,15,s,s
Male,24Q455,NEWTOWN HIGH SCHOOL,435,37,8.5%,435,41,9.4%
Male,24Q485,GROVER CLEVELAND HIGH SCHOOL,363,49,13.5%,363,52,14.3%
Male,24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,79,7,8.9%,79,7,8.9%
Male,24Q560,ROBERT F. WAGNER  JR. SECONDARY SCHOO,46,9,19.600000000000001%,46,10,21.7%
Male,24Q600,QUEENS VOCATIONAL AND TECHNICAL HIGH,168,22,13.1%,168,22,13.1%
Male,24Q610,AVIATION CAREER & TECHNICAL EDUCATION,321,114,35.5%,321,122,38%
Male,24Q744,VOYAGES PREPARATORY,48,1,2.1%,48,1,2.1%
Male,25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL,44,2,4.5%,44,2,4.5%
Male,25Q281,EAST-WEST SCHOOL OF INTERNATIONAL STU,38,6,15.8%,38,6,15.8%
Male,25Q285,WORLD JOURNALISM PREPARATORY: A COLLE,36,3,8.300000000000001%,36,3,8.300000000000001%
Male,25Q425,JOHN BOWNE HIGH SCHOOL,342,20,5.8%,342,20,5.8%
Male,25Q460,FLUSHING HIGH SCHOOL,292,20,6.8%,292,20,6.8%
Male,25Q525,TOWNSEND HARRIS HIGH SCHOOL,82,81,98.8%,82,81,98.8%
Male,25Q540,QUEENS ACADEMY HIGH SCHOOL,63,5,7.9%,63,5,7.9%
Male,25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHO,86,15,17.399999999999999%,86,15,17.399999999999999%
Male,25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,32,0,0%,32,0,0%
Male,26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,479,206,43%,479,214,44.7%
Male,26Q430,FRANCIS LEWIS HIGH SCHOOL,578,243,42%,578,264,45.7%
Male,26Q435,MARTIN VAN BUREN HIGH SCHOOL,399,49,12.3%,399,49,12.3%
Male,26Q495,BAYSIDE HIGH SCHOOL,432,181,41.9%,432,188,43.5%
Male,26Q566,QUEENS HIGH SCHOOL OF TEACHING  LIBER,117,20,17.100000000000001%,117,20,17.100000000000001%
Male,27Q260,FREDERICK DOUGLASS ACADEMY VI HIGH SC,54,7,13%,54,7,13%
Male,27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,41,5,12.2%,41,5,12.2%
Male,27Q302,QUEENS HIGH SCHOOL FOR INFORMATION  R,2,s,s,2,s,s
Male,27Q400,AUGUST MARTIN HIGH SCHOOL,167,6,3.6%,167,6,3.6%
Male,27Q410,BEACH CHANNEL HIGH SCHOOL,215,6,2.8%,215,6,2.8%
Male,27Q465,FAR ROCKAWAY HIGH SCHOOL,80,1,1.3%,80,1,1.3%
Male,27Q475,RICHMOND HILL HIGH SCHOOL,430,32,7.4%,430,32,7.4%
Male,27Q480,JOHN ADAMS HIGH SCHOOL,421,33,7.8%,421,34,8.1%
Male,27Q650,HIGH SCHOOL FOR CONSTRUCTION TRADES,134,27,20.100000000000001%,134,27,20.100000000000001%
Male,28Q440,FOREST HILLS HIGH SCHOOL,517,182,35.200000000000003%,517,183,35.4%
Male,28Q470,JAMAICA HIGH SCHOOL,190,10,5.3%,190,10,5.3%
Male,28Q505,HILLCREST HIGH SCHOOL,309,37,12%,309,38,12.3%
Male,28Q620,THOMAS A. EDISON CAREER AND TECHNICAL,553,208,37.6%,553,213,38.5%
Male,28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SEC,37,20,54.1%,37,21,56.8%
Male,28Q687,QUEENS HIGH SCHOOL FOR THE SCIENCES A,50,44,88%,50,45,90%
Male,28Q690,HIGH SCHOOL FOR LAW ENFORCEMENT AND P,64,5,7.8%,64,5,7.8%
Male,29Q248,QUEENS PREPARATORY ACADEMY,39,2,5.1%,39,2,5.1%
Male,29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL:,24,2,8.300000000000001%,24,2,8.300000000000001%
Male,29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL,43,2,4.7%,43,2,4.7%
Male,29Q272,GEORGE WASHINGTON CARVER HIGH SCHOOL,47,12,25.5%,47,13,27.7%
Male,29Q283,PREPARATORY ACADEMY FOR WRITERS: A CO,17,s,s,17,s,s
Male,29Q492,MATHEMATICS  SCIENCE RESEARCH AND TEC,73,14,19.2%,73,14,19.2%
Male,29Q494,LAW  GOVERNMENT AND COMMUNITY SERVICE,62,8,12.9%,62,8,12.9%
Male,29Q496,BUSINESS  COMPUTER APPLICATIONS & ENT,87,2,2.3%,87,2,2.3%
Male,29Q498,HUMANITIES & ARTS MAGNET HIGH SCHOOL,46,4,8.699999999999999%,46,4,8.699999999999999%
Male,30Q445,WILLIAM CULLEN BRYANT HIGH SCHOOL,442,90,20.399999999999999%,442,95,21.5%
Male,30Q450,LONG ISLAND CITY HIGH SCHOOL,371,49,13.2%,371,51,13.7%
Male,30Q501,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,51,22,43.1%,51,22,43.1%
Male,30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL,177,30,16.899999999999999%,177,31,17.5%
Male,30Q555,NEWCOMERS HIGH SCHOOL,113,20,17.7%,113,20,17.7%
Male,30Q575,ACADEMY OF AMERICAN STUDIES,51,22,43.1%,51,22,43.1%
Male,30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCA,31,21,67.7%,31,21,67.7%
Male,31R047,CSI HIGH SCHOOL FOR INTERNATIONAL STU,33,7,21.2%,33,7,21.2%
Male,31R080,THE MICHAEL J. PETRIDES SCHOOL,59,22,37.299999999999997%,59,22,37.299999999999997%
Male,31R440,NEW DORP HIGH SCHOOL,262,42,16%,262,42,16%
Male,31R445,PORT RICHMOND HIGH SCHOOL,267,32,12%,267,33,12.4%
Male,31R450,CURTIS HIGH SCHOOL,296,54,18.2%,296,54,18.2%
Male,31R455,TOTTENVILLE HIGH SCHOOL,566,147,26%,566,150,26.5%
Male,31R460,SUSAN E. WAGNER HIGH SCHOOL,470,128,27.2%,470,128,27.2%
Male,31R470,CONCORD HIGH SCHOOL,19,s,s,19,s,s
Male,31R600,RALPH R. MCKEE CAREER AND TECHNICAL E,124,14,11.3%,124,14,11.3%
Male,31R605,STATEN ISLAND TECHNICAL HIGH SCHOOL,174,170,97.7%,174,170,97.7%
Male,32K403,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,44,1,2.3%,44,2,4.5%
Male,32K545,EBC HIGH SCHOOL FOR PUBLIC SERVICEBU,73,0,0%,73,0,0%
Male,32K549,BUSHWICK SCHOOL FOR SOCIAL JUSTICE,45,5,11.1%,45,5,11.1%
Male,32K552,ACADEMY OF URBAN PLANNING,50,2,4%,50,2,4%
Male,32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,24,5,20.8%,24,6,25%
Male,32K556,BUSHWICK LEADERS HIGH SCHOOL FOR ACAD,51,2,3.9%,51,2,3.9%
Male,32K564,BUSHWICK COMMUNITY HIGH SCHOOL,57,0,0%,57,0,0%
Asian,01M292,HENRY STREET SCHOOL FOR INTERNATIONAL,9,s,s,9,s,s
Asian,01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,21,8,38.1%,21,8,38.1%
Asian,01M509,MARTA VALLE HIGH SCHOOL,17,s,s,17,s,s
Asian,01M515,LOWER EAST SIDE PREPARATORY HIGH SCHO,180,63,35%,180,63,35%
Asian,01M539,NEW EXPLORATIONS INTO SCIENCE  TECHNO,13,s,s,13,s,s
Asian,01M650,CASCADES HIGH SCHOOL,4,s,s,4,s,s
Asian,01M696,BARD HIGH SCHOOL EARLY COLLEGE,17,s,s,17,s,s
Asian,02M047,47 THE AMERICAN SIGN LANGUAGE AND ENG,1,s,s,1,s,s
Asian,02M288,FOOD AND FINANCE HIGH SCHOOL,3,s,s,3,s,s
Asian,02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,6,s,s,6,s,s
Asian,02M298,PACE HIGH SCHOOL,12,s,s,12,s,s
Asian,02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND C,1,s,s,1,s,s
Asian,02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT,1,s,s,1,s,s
Asian,02M308,LOWER MANHATTAN ARTS ACADEMY,2,s,s,2,s,s
Asian,02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,5,s,s,5,s,s
Asian,02M374,GRAMERCY ARTS HIGH SCHOOL,2,s,s,2,s,s
Asian,02M394,EMMA LAZARUS HIGH SCHOOL,6,s,s,6,s,s
Asian,02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,72,49,68.099999999999994%,72,50,69.400000000000006%
Asian,02M408,PROFESSIONAL PERFORMING ARTS HIGH SCH,5,s,s,5,s,s
Asian,02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,61,45,73.8%,61,45,73.8%
Asian,02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE S,32,22,68.8%,32,23,71.900000000000006%
Asian,02M414,N.Y.C. MUSEUM SCHOOL,15,s,s,15,s,s
Asian,02M416,ELEANOR ROOSEVELT HIGH SCHOOL,27,22,81.5%,27,22,81.5%
Asian,02M418,MILLENNIUM HIGH SCHOOL,48,36,75%,48,36,75%
Asian,02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AN,79,33,41.8%,79,34,43%
Asian,02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SC,16,s,s,16,s,s
Asian,02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,29,6,20.7%,29,7,24.1%
Asian,02M460,WASHINGTON IRVING HIGH SCHOOL,21,6,28.6%,21,6,28.6%
Asian,02M475,STUYVESANT HIGH SCHOOL,522,514,98.5%,522,516,98.9%
Asian,02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,48,21,43.8%,48,21,43.8%
Asian,02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,.,.,.,.,.,.
Asian,02M519,TALENT UNLIMITED HIGH SCHOOL,5,s,s,5,s,s
Asian,02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSIN,89,36,40.4%,89,36,40.4%
Asian,02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOO,5,s,s,5,s,s
Asian,02M531,REPERTORY COMPANY HIGH SCHOOL FOR THE,1,s,s,1,s,s
Asian,02M542,MANHATTAN BRIDGES HIGH SCHOOL,.,.,.,.,.,.
Asian,02M543,NEW DESIGN HIGH SCHOOL,5,s,s,5,s,s
Asian,02M544,INDEPENDENCE HIGH SCHOOL,5,s,s,5,s,s
Asian,02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASI,48,37,77.099999999999994%,48,37,77.099999999999994%
Asian,02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCO,30,6,20%,30,6,20%
Asian,02M551,THE HARBOR HS,.,.,.,.,.,.
Asian,02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY,92,33,35.9%,92,33,35.9%
Asian,02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACH,7,s,s,7,s,s
Asian,02M586,HARVEY MILK HIGH SCHOOL,2,s,s,2,s,s
Asian,02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,13,s,s,13,s,s
Asian,02M615,CHELSEA CAREER AND TECHNICAL EDUCATIO,3,s,s,3,s,s
Asian,02M620,NORMAN THOMAS HIGH SCHOOL,23,3,13%,23,3,13%
Asian,02M625,HIGH SCHOOL OF GRAPHIC COMMUNICATION,6,s,s,6,s,s
Asian,02M630,ART AND DESIGN HIGH SCHOOL,24,6,25%,24,6,25%
