OrganizationName,Brooklyn,Bronx,Manhattan,Queens,Staten Island,Fax,Phone,URL,noURL,Description,outsideLoc,outsideLocDesc,Aging,Anti-Discrimination & Human Rights,Arts & Culture,Business,Child Care & Parent Information,Community Service & Volunteerism,Counseling & Support Groups,Disabilities,Domestic Violence,Education,Employment & Job Training,Health,Homelessness,Housing,Immigration,Legal Services,"Lesbian, Gay, Bisexual, and/or Transgender",Personal Finance & Financial Education,Professional Association,Veterans & Military Families,Victim Services,Women's Groups,Youth Services,Faith-based organization,Foundation,Is registered with the Attorney General's office,New York City Agency,None of the above,Nonprofit,Comments,Other government organization,Published,Location 1,Location 2
American Lung Association of City of New York,N,N,Y,N,N,2128893375,2128893370,http://www.alany.org,N,American Lung Association in New York is the leading organization working to save lives by improving lung health and preventing lung disease.,N,,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"American Mothers, Inc.",Y,N,N,N,N,,2127552539,http://www.americanmothers.org,N,The National AMI organization provides educational tools for mothers. Women can join local chapters of like-minded women for camaraderie and a positive resource as they learn and improve their parenting skills among friends. For mothers who are unable to.,,,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
American Parkinson's Disease Association,N,N,N,N,Y,7189814399,8002232732,http://www.apdaparkinson.org,N,"The American Parkinson Disease Association, Inc. was founded in 1961 to ""ease the burden and find a cure"" for Parkinson's disease. Headquartered in New York, the organization focuses its energies on research, patient support, education and raising public awareness of the disease.",Y,across the US,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
American Society of Women Accountants,N,N,Y,N,N,,2129283055,http://www.aswa.org,N,"the mission of ASWA is to enable women in all accounting and related fields to achieve their full personal, professional and economic potential and to contribute to the future development of their profession.  Members include partners in national, regional",,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,,N,N,N,N,N,N,Y,,N,Published,,
American Woman's Economic Development Corporation,N,N,Y,N,N,2129867114,9173686100,http://www.awed.org,N,To help women achieve economic self sufficency through entreprenuership. AWED achieves this through training and counseling programs that meet women's needs at all levels of business development from start-up through growth and expansion.,N,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Amethyst Women's Project,Y,N,N,N,N,,7183332067,http://www.awp-ci.org/,N,"Amethyst Women's Project provides intervention and referral services to improve and strengthen the lives of addicted women and their families.  Staffed by caring and trained volunteers, Amethyst Women's Project reaches out to those in need of drug treatment",N,,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Amnesty International USA,N,N,Y,N,N,2124639193,2128078400,http://www.amnesty.org/en/region/usa,N,Amnesty International is a worldwide movement of people who campaign for internationally recognized human rights to be respected and protected for everyone.,N,,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Amyotrophic Lateral Sclerosis Association - Greater New York Chapter,N,N,Y,N,N,2126197409,8006728857,http://www.als-ny.org,N,Greater New York Chapter,N,,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Archdiocesan Catholic Guild for the Blind,N,N,Y,N,N,2128268377,2123711000,http://www.catholiccharitiesny.org,N,"The Catholic Charities of the Archdiocese of New York seeks to uphold the dignity of each person as made in the image of God by serving the basic needs of the poor, troubled, frail and oppressed of all religions.  We collaborate with parishes as well as non-Catholics and Catholic partners, to build a compassionate and just society.  Through a network of administered, sponsored and affiliated agencies. Catholic Charities delivers, coordinates, and advocates for quality human servives and programs touching almost every human need.",N,,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
YWCA of New York City,N,N,Y,N,N,9173699096,2127359773,http://ywcanyc.org,N,"The YW stands for the elimination of racism and the empowerment of women. The YW focuses its resources on helping communities in-need, with four affordable high-quality childcare centers in Manhattan, Staten Island and Brooklyn, and after school programs in lower Manhattan, Coney Island and Brownsville, Brooklyn. The YW opened its first Family Resource Center in 2006, continuing to shape the generations of children and women to come.",N,,N,Y,N,Y,N,Y,Y,N,Y,N,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
ArtTable,N,N,Y,N,N,2123431430,2123431735,http://www.arttable.org,N,"ArtTable, Inc. is a national membership organization for women leaders in the visual arts. Founded in 1980, ArtTable, Inc. is the leadership organization for professional women in the visual arts. ArtTableï¿½s purpose is to increase the effectiveness and visibility",N,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Asian American Federation of New York,N,N,Y,N,N,2123445636,2123445878,http://www.aafny.org,N,"The Asian American Federation's mission is to advance the civic voice and well-being of Asian Americans. We collaboratively foster philanthropy in the community, undertake research to inform policies, and provide support to community service organizations.",N,,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Asian American Writers' Workshop,N,N,Y,N,N,2124940062,2124940061,http://www.aaww.org/,N,"Operating out of our 6,000 square-foot loft, we sponsor readings, book parties and panel discussions, and offer creative writing workshops. Each winter we present The Annual Asian American Literary Awards Ceremony to recognize outstanding literary works.",N,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,"10A New York
10001
(40.75025902143676, -73.99688630375988)",
Asian Professional Extension,N,N,Y,N,N,2127481250,2127481225,http://www.apex-ny.org,N,"APEX is a 501 (c) 3 nonprofit in New York City dedicated to providing mentoring and educational services to an Asian American youth population. Now in its seventeenth year, APEX has attracted thousands of volunteers and has served thousands of youth, many of whom are now mentors and volunteers themselves.",N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
Credit Where Credit Is Due,N,N,Y,N,N,,2129275771,http://www.cwcid.org/,N,"Credit Where Credit Is Due (CWCID) was founded in 1994 in response to the growing financial disenfranchisement of Upper Manhattan. Washington Heights in particular represented the challenges facing the Latino immigrant community, striving for financial mobility, but waylaid by structural barriers to wealth creation and the perils of a ubiquitous fringe banking industry grown up to fill the financial services void.",,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Crown Heights Jewish Community Council,Y,N,N,N,N,,7187788808,,N,"Crown Heights Jewish Community Council (CHJCC) is a private, nonprofit social service agency serving one of the most diverse and challenging neighborhoods in New York City. The agency was formed in 1969 in response to deteriorating social and economic conditions in the neighborhood. The population of the 116-city block cache area known as Crown Heights is comprised of persons of many cultures and includes new immigrants. According to the 1990 census, incomes tend to be low - often below poverty levels. Housing is mostly old (circa 1900 - 1930) and at a premium. CHJCC administers programs, advocates for clients, and provides referrals on issues of housing, employment, economic development, entitlements, problems of the aging, aid to crime victims, assistance for indigent residents. CHJCC has created multi-racial, faith, and community-based programs such as Project Care, which unites civic and religious leaders from every segment of the community in a funded program to promote efforts in social and economic development. Creative initiatives such as Project Care have addressed areas of common concern, and new avenues of communication and cooperation have emerged. One of the major goals of the CHJCC is to promote an atmosphere of understanding and cooperation in the community. Areas of common concern, including housing, poverty, crime, employment, education and economic development, are being addressed through new programs.",,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
Crystal Quilt,N,N,Y,N,N,,2125297579,http://www.crystalquilt.org,N,"The Crystal Quilt, Inc., a feminist nonprofit organization, designs distinctive educational and cultural programs that speak to women's desires for meaning, connection and power. From economic development to spiritual awareness, a wide range of discussions, workshops and support groups help women make changes - in their own lives and in the larger society. Literary readings, performances and other cultural events celebrate women's creativity.",,,N,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,,N,N,N,N,N,N,Y,,N,Published,"321 New York
10012
(40.72553802086304, -73.99789641059084)",
Association for the Help of Retarded Children,N,N,Y,N,N,2127777851,2127802500,http://www.ahrcnyc.org,N,"AHRC New York City, a family governed organization, is dedicated to enhancing the lives of individuals with intellectual and developmental disabilities and their families.",N,,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Cypress Hills Local Development Corporation,N,N,Y,N,N,,7186472800,http://www.cypresshills.org/,N,"The CHLDC's mission is to revitalize the Cypress Hills community through economic development, housing preservation, and supporting the positive development of our youth and their families.",,,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
Association of Junior Leagues International,N,N,Y,N,N,2124817196,2129518300,http://www.ajli.org,N,"The Association of Junior Leagues International Inc. (AJLI) is an organization of women committed to promoting voluntarism, developing the potential of women and improving communities through the effective action and leadership of trained volunteers.",,,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,,N,N,N,N,N,N,Y,,N,Published,"305 New York
10038
(40.70935929189784, -74.00307186237649)",
Astella Development Corporation,Y,N,N,N,N,7189968759,7182664653,http://www.astelladevelopment.org/,N,"Astella Development Corporation is a not-for-profit community based organization dedicated to providing affordable housing, commercial revitalization, & economic development, and improving the quality of life in Coney Island, Brooklyn.",N,,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Desmond Tutu Peace Foundation,N,N,Y,N,N,2123712776,2127505504,http://www.tutufoundation-usa.org/,N,"The Desmond Tutu Peace Foundation is a New York-based non-profit organization. Its mission, in collaboration with the Desmond Tutu Peace Centre and Peace Trust, is to support and promote the creation of a culture of peace throughout the world.  In the spirit of our founder, Nobel Peace Laureate Archbishop Desmond Tutu, and the South African experience, we are dedicated to advancing reconciliation, peace-building, non-violence, conflict resolution and ethical leadership so that all may live in a more peaceable and sustainable world.",N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,"404 New York
10021
(40.76920532766377, -73.959183941086)",
Aviva Players Company Inc,N,N,Y,N,N,,2123622277,http://www.theavivaplayers.com,N,"Founded in 1975, the goal of The Aviva Players is to research, present, promote and, above all, to perform the rich repertoire of chamber music and songs by Women Composers from the 12th to the 21st centuries.",N,,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,"14E New York
10024
(40.78362556816552, -73.96653900057436)",
Disabled in Action of Metropolitan New York,N,N,Y,N,N,7182613737,7182613737,http://www.disabledinaction.org/,N,"We are a civil rights organization committed to ending discrimination against people with disabilities ? all disabilities. We fight to eliminate the barriers that prevent us from enjoying full equality in American society. Founded in 1970, DIA is a democratic, not-for-profit, tax-exempt, membership organization. DIA consists primarily of and is directed by people with disabilities.",N,,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,"30954 NY
10011
(40.74471526669623, -74.00460000028977)",
Domestic and Other Violent Emergencies Program (DOVE),N,N,Y,N,N,,2123059060,,N,"Provides crisis information, short-term counseling, and advocacy for victims of sexual assault, domestic violence, and other violent crimes, including terrorism. 24 hour emergency room support for survivors of sexual assault and domestic violence with specially trained volunteers. Provides support groups and community education on sexual assault and domestic violence. All services free of charge. Spanish spoken.",N,,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,,N,N,N,N,N,N,Y,,N,Published,"156 New York
10021
(40.76920532766377, -73.959183941086)",
East River Development Alliance,N,N,N,Y,N,7187291288,7187840877,http://www.erdalliance.org,N,"The East River Development Alliance (ERDA) is a non-profit organization in Long Island City, Queens, working to transform and improve New York City public housing neighborhoods by providing residents with the tools and opportunities necessary for self-sufficiency and economic mobility.  ERDA currently works in Queensbridge, Ravenswood, Astoria and Woodside Houses and provides technical support to leadership in public housing developments throughout New York City.",,,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
"East Side House, Inc.",N,Y,N,N,N,,7186655250,http://www.eastsidehouse.org/,N,"East Side House is a community resource in the South Bronx. We believe education is the key which enables all people to create economic and civic opportunities for themselves, their families and their community. Our focus is on critical developmental periods - - early childhood and adolescence - - and critical junctures - - points at which people are determined to become economically independent. We enrich, supplement and enhance the public school system and place college within reach of motivated students. We provide services to families in order that other family members may pursue their educational goals. We provide technology and career readiness training to enable students to improve their economic status and lead more fulfilling lives",,,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
"Police Athletic League, Inc.",N,N,Y,N,N,,,,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
Policewomen's Endowment Association,Y,N,N,N,N,,6466105113,http://www.nypdpea.org/home.htm,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Presbyterian Senior Services,N,N,Y,N,N,,2128746633,,N,,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Professional Women in Construction,Y,Y,Y,Y,Y,2124860228,2124867745,"http://www,pwcusa,org",N,,Y,"CT, DC, NJ, PA, FL",N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Project Enterprise (Harlem & The Bronx),Y,Y,Y,Y,Y,,2126786734,http://www.projectenterprise.org,N,,N,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"Project Reach Youth, Inc.",Y,N,N,N,N,,7187680778,,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
"Providence House, Inc.",Y,N,N,N,N,7184550692,7184550197,http://www.providencehouse.org,N,,N,,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,"210529 Brooklyn
11221
(40.69128803951145, -73.92761792792498)",
YWCA of Queens,N,N,N,Y,N,7183534044,7183534553,http://www.ywcaqueens.org,N,"The YWCA of Queens, formally known as the YWCA of the City of New York Flushing Branch, is recognized as one of the groundbreaking nonprofit organizations reaching out to newly-arrived Asian and other immigrants. Its goal is to preserve and strengthen families and their traditions while serving as a bridge to the mainstream culture and community in the most diverse borough, in the most diverse city, in the country. Through delivering essential services to immigrant women and their families, the YWCA of Queens plays a critical role in providing comprehensive services and programs to each individual and family, and to the community at large.",N,,Y,Y,Y,N,N,Y,N,N,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
