"Borough, Block and Lot #",Facility Address,Natural Gas Utility (Con Edison or National Grid,Building Manager,Owner,Owner Address,DEP Boiler Application #,Deadline for phasing out #6 oil (i.e. data of next DEP permit renewal after July 1 2012),Boiler Model,Number of identical boilers,Boiler capacity (Gross BTU),Boiler Installation Date,Estimated retirement date of boiler (assuming 35 year average useful life),Is boiler dual fuel capable?,Age range of boiler,Burner Model,Primary Fuel,Total Estimated Cosumption - High Estimate (Gallons) ,Total Estimated Cosumption - Low Estimate (Gallons) ,Total Estimated Cosumption - High Estimate (MMBTUs) ,Total Estimated Cosumption - Low Estimate  (MMBTUs) ,Needs to comply with Greener Greater Buildings Laws?,Deadline for complying with Audit and Retrocommissioning Law,Building Type,City Council District,Total area of buildings on lot,Number of buildings on property (tax lot),Number of floors,Number of residential units,Number of total units,Year constructed,Condominium housing?,Cooperative housing?
1015170043,"160 89 STREET
Manhattan, NY 10128
(40.781163810473906, -73.95364783007727)",Con Edison,160 EAST 69TH REALTY,160 E 89 ST RLTY CORP,"160 89th STREET
NEW YORK, NY 10028
(40.622178985585016, -74.03548331642341)",CA274870Z,7/6/05,PACIFIC (UNKNOWN),1,7,1970,2010, ,36 - 40 year old,PETRO WD 5AM,#6,55845,39092,8377,5864,Yes,2017,Office Buildings,5,64272,1,8,51,51,1938, , 
1015500045,"302 88 STREET
Manhattan, NY 10128
(40.77911051665472, -73.95068983124206)",Con Edison,MIDBORO MGMT.CO.,302 E. 88TH TENANTS C,"148 37 ST
MANHATTAN, NY 10018
(40.75251096987246, -73.98836465376176)",CA283085H,7/4/05,FEDERAL FST-125,1,5.1,1985,2020, ,21 to 26 years old,IND COMB MEG-54(P),#6,55699,38989,8355,5848,,,Elevator Apartments,5,49075,1,6,59,60,1957, , 
1004840001,"515 BROADWAY
Manhattan, NY 10012
(40.7226615788647, -73.9991353946475)",Con Edison,ANDREWS BUILDING CORP.,515 BROADWAY CORP,"666 BROADWAY
MANHATTAN, NY 10012
(40.727111630718575, -73.99526134940452)",CA129482X,7/6/05,FEDERAL FST 250,1,10.4,1982,2017, ,26 to 30 years old,I.C.I. DEG 105 P,#4,55600,38920,8062,5643,Yes,2014,Elevator Apartments,1,125590,1,6,19,26,1880, ,YES
1021800522,"225 BENNETT AVENUE
Manhattan, NY 10040
(40.857848081452005, -73.9331265994092)",Con Edison,ROCKVIEW APTS CORP,ROCKVIEW APT CORP,"2207 CONEY ISLAND AVENUE
BROOKLYN, NY 11223
(40.60328584975498, -73.96145921904193)",CA252892M,7/5/05,ROCKMILLS MP-150 (EXG),1,6.27,1992,2027, ,16 to 20 years old,ICI DEG-63P (NEW),#6,55597,38918,8340,5838,Yes,2020,Elevator Apartments,7,82536,1,6,106,106,1940, ,YES
1006960065,"210 11 AVENUE
Manhattan, NY 10001
(40.74995641759688, -74.00618752106953)",Con Edison,MURRAY HILL PROPERTIES,"ONBAR,","200 PARK AVENUE
N Y 10003
(40.73658353765103, -73.98909294281773)",CB002401K,7/5/05,ROCKMILLS   MP 200,1,8.4,2001,2036,DUAL FUEL,5 to 10 years old,INDUSTRIAL  COMB.   DEG-84 P,#6,55500,38850,8325,5828,Yes,2016,Elevator Apartments,3,108081,1,11,0,11,1911, , 
1006960065,"210 11 AVENUE
Manhattan, NY 10001
(40.74995641759688, -74.00618752106953)",Con Edison,OWNER/SUPER ,"ONBAR,","200 PARK AVE
MANHATTAN, NY 10003
(40.73658353765103, -73.98909294281773)",CA192197Z,7/5/05,ROCKMILLS  MP-200,3,7.77,1997,2032,DUAL FUEL,11 to 15 years old,INDUSTRIAL COMB.  DEG-84 P,#6,55500,38850,8325,5828,Yes,2016,Walk-Up Apartments,3,108081,1,11,0,11,1911, , 
1007880073,"250 39 STREET
Manhattan, NY 10018
(40.75471940432402, -73.98980647036824)",Con Edison,TR 39TH ST. LAND CORP.,TR 39TH ST. LAND CORP,"2091 WARREN
MI 48090
(42.50174700022393, -83.04587099964687)",CA519185N,7/5/05,ROCKMILLS MODEL MP-250,1,10,1985,2020, ,21 to 26 years old,INDUSTRIAL COMBUSTION DEG-105-P,#6,55500,38850,8325,5828,Yes,2018,Walk-Up Apartments,3,181921,1,17,0,0,1926, , 
1014100005,"103 75 STREET
Manhattan, NY 10021
(40.772987633551146, -73.96215758032619)",Con Edison, GUMLEY HAFT INC./M.ARPA,103 EAST 75TH ST APT,"415 MADISON AVE
MANHATTAN, NY 10017
(40.756779530947306, -73.976317020908)",CA304284K,7/7/05,ROCKMILLS MP-125,1,5.2,1984,2019, ,26 to 30 years old,INDU COMBU MMG-54-P,#4,55480,38836,8045,5631,Yes,2020,Elevator Apartments,4,64853,1,10,26,28,1920, ,YES
1022430335,"30 PARK TERRACE
Manhattan, NY 10034
(40.869936482259, -73.91730287875525)",Con Edison,30 REALTY COMPANY,"30 PARK REALTY CO.,","363 WESTCHESTER AVENUE
PORTCHESTER, NY 10573
(41.00430253378631, -73.67137892173311)",CA128880R,7/6/05,FDEDERAL FST-90,1,3.8,1980,2015, ,26 to 30 years old,IND. COMB. DEG-42-P,#6,55480,38836,8322,5825,,,Elevator Apartments,7,41151,1,6,49,49,1937, , 
1005690001,"43 5 AVENUE
Manhattan, NY 10003
(40.734191302423255, -73.99492800926271)",Con Edison,43 TENANTS CORP.,43 TENANTS CORP,"6 43 STREET
MANHATTAN, NY 10017
(40.75381517729913, -73.97967506743592)",CA033083M,7/5/05,ROCKMILLS MP-125,1,5.2,1983,2018, ,26 to 30 years old,INDUSTRIAL COMBUSTION DEG-54-P,#6,55480,38836,8322,5825,Yes,2019,Walk-Up Apartments,2,64218,1,11,42,42,1905, ,YES
1018920013,"945 END AVENUE
Manhattan, NY 10025
(40.79685012763133, -73.96372581059762)",Con Edison,IRENE BOGONI ETAL,B-U REALTY CORP,"945 END AVENUE
MANHATTAN, NY 10025
(40.79685012763133, -73.96372581059762)",CA157883P,7/5/05,ROCKMILLS MP 125,1,5.2,1983,2018, ,26 to 30 years old,ICI MEG-54P,#6,55480,38836,8322,5825,Yes,2022,Elevator Apartments,9,75524,1,12,59,59,1907, , 
1008240032,"3 22 STREET
Manhattan, NY 10010
(40.740575597232635, -73.98926721398719)",Con Edison,SCHIRRMESTER BROTHERS,CHAND REALTY ASSOC,"30 VESEY STREET
MANHATTAN, NY 10007
(40.71177931526664, -74.00944232782362)",CA338269H,7/6/05,ROCKMILLS MP150,1,5.9,1969,2010, ,41 - 45 years old,RAY AEOR-144 SIZE 150,#6,55480,38836,8322,5825,Yes,2014,"Churches, Synagogues, etc.",3,74027,1,10,0,55,1901, , 
1021380108,"601 168 STREET
Manhattan, NY 10032
(40.84117556129267, -73.93992594361286)",Con Edison,SIRKIN REALTY CORP.,4001 BROADWAY ASSOCIA,"403 62 STREET
MANHATTAN, NY 10021
(40.76920532766377, -73.959183941086)",CA300690H,7/7/05,FEDERAL FST 150,1,6.27,1990,2025, ,16 to 20 years old,HEVE DEG 63 P,#6,55188,38632,8278,5795,Yes,2018,Elevator Apartments,10,65448,1,6,42,49,1920, , 
1008390073,"48 38 STREET
Manhattan, NY 10018
(40.751611688223754, -73.98428691801602)",Con Edison,BONAFIDE ESTATES INC.,48 WEST 38 STREET LLC,"630 5 AVENUE
MANHATTAN, NY 10111
(40.75892500018864, -73.97812899995336)",CA101781L,7/5/05,FEDERAL  #FST 200,1,8.2,1981,2016, ,26 to 30 years old,ICI DEG 84 P,#6,55188,38632,8278,5795,Yes,2019,Elevator Apartments,3,110898,1,12,0,9,1912, , 
1021750053,"200 DYCKMAN STREET
Manhattan, NY 10040
(40.864916752602255, -73.92687631130559)",Con Edison,"200 DYCKMAN ASSOC, LLC/STONECREST MANAGEMENT",200 DYCKMAN ASSOCIATE,"7 11 SOUTH BROADWAY
WHITE PLAINS, NY 10601
(41.032852406113705, -73.76540666728386)",CA468969Y,7/4/05,FEDERAL FST 150,1,6.3,1969,2010, ,41 - 45 years old,IF A06-6.3,#6,55125,38588,8269,5788,Yes,2015,Elevator Apartments,10,74652,1,6,72,84,1926, , 
1007757501,"207 25 STREET
Manhattan, NY 10001
(40.74550749583839, -73.99494991143375)",Con Edison,GVA WILLIAMS REAL ESTATE CO.,,"380 MADISON AVENUE
MANHATTAN, NY 10017
(40.755596213835844, -73.97727528530339)",CA323989Y,7/6/05,FEDERAL FST 200,1,8.19,1989,2024, ,21 to 26 years old,HEVE DEG84 P,#6,55125,38588,8269,5788,Yes,2015,Elevator Apartments,3,249975,1,12,0,14,1912,YES, 
1008810029,"137 25 STREET
Manhattan, NY 10010
(40.740767209215875, -73.98369122381075)",Con Edison,BELLE REALTY CO.,"137 AND 138 REALTY,LL","1 PENN PLAZA
MANHATTAN, NY 10001
(40.74954249803239, -73.99162877282481)",CA239969P,7/5/05,FEDERAL 1215,1,5.2,1969,2010, ,41 - 45 years old,IRON FIREMAN A06 6.3,#4,55000,38500,7975,5582,Yes,2021,Condominiums,2,71043,1,10,1,18,1910, , 
1011640002,"269 72 STREET
Manhattan, NY 10023
(40.77951494447093, -73.98368543553337)",Con Edison,CORNERSTONE MANAGEMENT,269 W 72 OWNERS CORP,"271 MADISON AVE
MANHATTAN, NY 10016
(40.75118848877702, -73.98044892459097)",CA251287J,7/7/05,FEDERAL FST-125,1,5.32,1987,2022, ,21 to 26 years old,ICI MMG 54P,#4,55000,38500,7975,5582,,,Elevator Apartments,6,49327,1,16,58,60,1924, , 
1008867503,"127 30 STREET
Manhattan, NY 10016
(40.7439952844967, -73.98178044948524)",Con Edison, LCD CORP. C/O LAWRENCE  A. SMILEY,LEXINGTON PARC CONDOM,"1862 MUTTONTOWN ROAD
MUTTONTOWN, NY 11791
(40.82401558670972, -73.53684934041848)",CA176588X,7/4/05,FEDERAL FST 125,2,5.35,1988,2023, ,21 to 26 years old,S.T.JOHNSON FD68CAHM-150,#6,55000,38500,8250,5775,Yes,2016,Elevator Apartments,2,63418,1,19,71,71,1988,YES, 
1012100005,"171 79 STREET
Manhattan, NY 10024
(40.782981692234195, -73.9778491551793)",Con Edison,171 TENANTS CORP/GOLDNER,171 TENANTS CORP,"155 72ND STREET
MANHATTAN, NY 10023
(40.778309171187864, -73.9808388416445)",CA280086X,7/6/05,ROCKMILLS MP 175,1,7.35,1986,2021, ,21 to 26 years old,I.C.I. DEG 84P,#6,55000,38500,8250,5775,Yes,2020,Walk-Up Apartments,6,94659,1,15,62,63,1924, ,YES
1011200011,"33 67 STREET
Manhattan, NY 10023
(40.773730263344405, -73.97987966544497)",Con Edison,33 WEST 67TH STREET CORP,33 WEST 67TH STREET O,"770 LEXINGTON AVE
MANHATTAN, NY 10021
(40.76920532766377, -73.959183941086)",CA500085X,7/5/05,ROCKMILLS MP125,1,5,1985,2020, ,21 to 26 years old,ICI DEG 54P,#6,55000,38500,8250,5775,Yes,2020,Walk-Up Apartments,6,66847,1,14,35,36,1905, ,YES
1022280025,"514 211 STREET
Manhattan, NY 10034
(40.86725043140698, -73.917690983504)",Con Edison,535 MGMT CORP,211 LLC,"1 SIDNEY PLACE
BROOKLYN, NY 11201
(40.69298462973126, -73.99415599954382)",CA187287X,7/5/05,ROCKMILLS MP 150,1,6,1987,2022, ,21 to 26 years old,ICI DEG 63,#6,55000,38500,8250,5775,Yes,2018,Hospitals & Health,10,68670,1,6,78,78,1928, , 
1020690011,"83 ST NICHOLAS' PLACE
Manhattan, NY 10032
(40.829726281595754, -73.94068090445535)",Con Edison,83 ST NICHOLAS PLACE,79 S N LTD,"2562 BRIGGS AVE
BRONX, NY 10458
(40.863915448232135, -73.89343797788628)",CA639686H,7/6/05,ROCKMILLS MP 125 SL,1,5.25,1986,2021, ,21 to 26 years old,ICI DEG 54,#6,55000,38500,8250,5775,,,Walk-Up Apartments,7,23952,1,6,24,24,1926, , 
1022430004,"585 ISHAM STREET
Manhattan, NY 10034
(40.868621959363, -73.92007743676407)",Con Edison,ALEF REALTY CORP.,ALEF REALTY MANAGEMEN,"4500 BROADWAY
MANHATTAN, NY 10040
(40.85800096619698, -73.93197546721171)",CA283285M,7/4/05,ROCKMILLS MP150,1,6,1985,2020, ,21 to 26 years old,ICI DEG 63P,#6,55000,38500,8250,5775,,,Walk-Up Apartments,7,38460,1,5,44,44,1930, , 
1022020033,"425 205 STREET
Manhattan, NY 10034
(40.8626059172212, -73.91845454560223)",Con Edison,CARL S YOUNG,425 W.205 ST.CORP.,"350 5 AVENUE
MANHATTAN, NY 10001
(40.74836224233921, -73.98464519574641)",CA377586N,7/5/05,ROCKMILLS MP-150,1,6,1986,2021, ,21 to 26 years old,I.C.I DEG 63P,#6,55000,38500,8250,5775,Yes,2022,Elevator Apartments,10,77967,1,6,72,72,1946, , 
1021750010,"4672 BROADWAY
Manhattan, NY 10040
(40.86306414922194, -73.93001494518785)",Con Edison,DONGAN GERP LLC.,TWENTY-TWO-FORTY ASS,"6 39 STREET
MANHATTAN, NY 10016
(40.751374888644044, -73.98180347499444)",CA269982R,7/5/05,FEDERAL FST 150,1,6.3,1982,2017, ,26 to 30 years old,ICI DE63P,#6,55000,38500,8250,5775,Yes,2015,Elevator Apartments,10,58640,1,5,68,69,1920, , 
1019490047,"540 MANHATTAN AVENUE
Manhattan, NY 10027
(40.80923972576829, -73.95374805354106)",Con Edison,DRAX REALTY CORP.,DRAX RLTY CORP,"180218 KENSINGTON STATION
BROOKLYN, NY 11218
(40.64322700851966, -73.9764486221062)",CA533185Y,7/5/05,FEDERAL FST-125,1,5,1985,2020, ,21 to 26 years old,I.C.I DEG-54 (P),#6,55000,38500,8250,5775,Yes,2019,Elevator Apartments,9,60768,1,6,77,77,1912, , 
1021610033,"124 FORT GEORGE AVENUE
Manhattan, NY 10040
(40.85709265094738, -73.9276497282508)",Con Edison,"EDELSTEIN,M",124 REALTY LLC,"2207 CONEY ISLAND AVENUE
BROOKLYN, NY 11223
(40.60328584975498, -73.96145921904193)",CA053982Y,7/7/05,ROCKMILLS MP4-162,1,6.3,1982,2017, ,26 to 30 years old,ICI DEG 63P,#6,55000,38500,8250,5775,Yes,2021,Office Buildings,10,67045,1,5,79,82,1925, , 
1020700008,"30 HAMILTON PLACE
Manhattan, NY 10031
(40.82190217994088, -73.95257893490299)",Con Edison,HAMILTON PLACE ASSOCIATES.,R.L.S.A. REALTY CORP.,"30 HAMILTON PLACE
MANHATTAN, NY 10031
(40.82190217994088, -73.95257893490299)",CA375392X,7/6/05,FEDERAL FST-150,1,6.44,1992,2027, ,16 to 20 years old,ICI DEG84S,#6,55000,38500,8250,5775,Yes,2020,Elevator Apartments,7,70044,1,5,0,4,1922, , 
1018930035,"375 RIVERSIDE DRIVE
Manhattan, NY 10025
(40.804554257995676, -73.96827210431428)",Con Edison,INSIGNIA RESIDENTIAL GRP.,375 RIVERSIDE DRIVE O,"675 3 AVENUE
MANHATTAN, NY 10017
(40.75129610835038, -73.97404990585339)",CA098178M,7/7/05,FEDERAL FST-300,1,12.62,1978,2013, ,31 to 35 years old,HEV-E-OIL DE 145-P,#6,55000,38500,8250,5775,Yes,2013,Elevator Apartments,9,145480,1,14,101,101,1922, ,YES
1001817504,"99 HUDSON STREET
Manhattan, NY 10013
(40.71928449883626, -74.00874287126841)",Con Edison,JANOFF & OLSHAN.INC.,99 HUDSON STREET ASSO,"654 MADISON AVE
NEW YORK, NY 10065
(40.76431417641167, -73.97094047808838)",CA304584M,7/6/05,ROCKMILLS MP200,1,7.8,1984,2019, ,26 to 30 years old,ICI-DEG 84P,#6,55000,38500,8250,5775,Yes,2021,Elevator Apartments,1,133010,1,16,0,6,1930,YES, 
1021340095,"601 156 STREET
Manhattan, NY 10032
(40.83353745877615, -73.94547834715785)",Con Edison,SDG MANAGEMENT 156 BROADWAY ASSOC. LLC.,156 BROADWAY ASSOCIAT,"888 7TH AVENUE
MANHATTAN, NY 10019
(40.765163953112335, -73.98028704662573)",CA097581H,7/6/05,ROCKMILLS MP 125,1,5,1981,2016, ,26 to 30 years old,ICI DEG 54P,#6,55000,38500,8250,5775,Yes,2014,Elevator Apartments,7,70356,1,6,70,76,1920, , 
1012420001,"700 END AVENUE
Manhattan, NY 10025
(40.79685012763133, -73.96372581059762)",Con Edison,U21 EINY,SALAMON REALTY LLC,"700 END AVENUE
MANHATTAN, NY 10025
(40.79685012763133, -73.96372581059762)",CA068680K,7/6/05,ROCKMILLS MP100,1,3.4,1980,2015, ,26 to 30 years old,ICI DEG 41P,#6,55000,38500,8250,5775,Yes,2022,"Churches, Synagogues, etc.",6,55840,1,15,65,65,1925, , 
1021800173,"80 BENNETT AVENUE
Manhattan, NY 10033
(40.85281187808789, -73.93547382990567)",Con Edison,80 BENNETT ASSOCIATES LLC,80 BENNETT ASSOCIATES,"145 HUGUENOT STREET
NEW ROCHELLE, NY 10801
(40.91319235913511, -73.77945045104241)",CA140291K,7/4/05,ROCKMILLS  MP 125,1,5.25,1991,2026, ,16 to 20 years old,ICI  DEG 54 P,#6,54896,38427,8234,5764,Yes,2020,Elevator Apartments,7,63912,1,6,66,68,1957, , 
1008950066,"140 40 STREET
Manhattan, NY 10016
(40.75002583293613, -73.97673481234203)",Con Edison,14040 TENANTS CORP. % ANDREWS BLDG.,140 40 TENANTS CORP,"140 40TH ST
NEW YORK, NY 10016
(40.75002583293613, -73.97673481234203)",CB209202P,7/4/05,ROCKMILLS-MP-125 (NEW),1,4.18,2002,2037,DUAL FUEL,5 to 10 years old,IC-DEG-54P (NEW),#4,54750,38325,7939,5557,Yes,2015,Walk-Up Apartments,4,58280,1,13,98,99,1931, ,YES
1021150005,"550 157 STREET
Manhattan, NY 10032
(40.83372772252324, -73.94416684762925)",Con Edison,157 BROADWAY ASSOC. Att: SDG MGMT.,157 BROADWAY ASSOCIAT,"888 7 AVENUE
MANHATTAN, NY 10019
(40.765163953112335, -73.98028704662573)",CA098899M,7/6/05,ROCKMILLS MP-175,1,7,1999,2034,DUAL FUEL,11 to 15 years old,I.C. MMG-84 P,#4,54750,38325,7939,5557,Yes,2015,Condominiums,7,99076,1,10,74,80,1910, , 
1015250036,"222 80 STREET
Manhattan, NY 10021
(40.76920532766377, -73.959183941086)",Con Edison,222 EAST 80TH STREET CORP.,222 E 80 CORP,"222 80 STREET
NEW YORK, NY 10012
(40.628301095375136, -74.03131772283196)",CB571003M,7/6/05,(EXISTING) FEDERAL  FLW 1822,2,6.6,2003,2038,DUAL FUEL,5 to 10 years old,(NEW) INDUSTRIAL COMBUSTION  DEG-84S,#4,54750,38325,7939,5557,Yes,2015,Elevator Apartments,5,94404,1,12,95,95,1962, ,YES
1010450020,"317 54 STREET
Manhattan, NY 10019
(40.76503699562223, -73.98479855288201)",Con Edison,317 W 54 OWNER'S CORP.,317 WEST 54 OWNERS CO,"319 54 STREET
MANHATTAN, NY 10019
(40.76505976866886, -73.9848527251293)",CA048672M,7/6/05,WEIL-MCLAIN #1092,1,2.4,1972,2010, ,36 - 40 year old,HEV-E-OIL #AM4 1/2 DH,#4,54750,38325,7939,5557,,,Elevator Apartments,3,22580,1,5,39,39,1980, , 
1005720038,"20 5 AVENUE
Manhattan, NY 10011
(40.732890573480205, -73.9959185189999)",Con Edison,ESTATE OF SOL GOLDMAN,20 FIFTH AVENUE LLC,"640 5 AVENUE
MANHATTAN, NY 10019
(40.75918853863369, -73.97674417161663)",CA174499P,7/7/05,(2) FEDERAL FST-175,2,7,1999,2034,DUAL FUEL,11 to 15 years old,(2) ICI  DEG-84P,#4,54750,38325,7939,5557,Yes,2022,Condominiums,3,132420,1,17,112,113,1940, , 
1013070029,"155 52 STREET
Manhattan, NY 10022
(40.75766590936668, -73.97119189521119)",Con Edison,"KNOCKLOFTY,LLC",KNOCKLOFTY MGMT LLC,"580307 FLUSHING
NY 11358
(40.760350968822195, -73.79632645819947)",CA166497L,7/5/05,FEDERAL FST-175,1,7,1997,2032,DUAL FUEL,11 to 15 years old,INDUSTRIAL COMB. DEG-84 (S),#4,54750,38325,7939,5557,Yes,2017,Elevator Apartments,4,66386,1,9,110,113,1929, , 
1019460029,"2217 8 AVENUE
Manhattan, NY 10026
(40.806681099562304, -73.95377062686246)",Con Edison,N.Y.C.  HPD,GARDEN OF EDEN ASSOCI,"100 GOLD STREET
N Y 10038
(40.71053013983237, -74.00381331091222)",CB085500J,7/4/05,FEDERAL    FST 175,1,7.28,2000,2035,DUAL FUEL,5 to 10 years old,I C I     DEG 84 P,#4,54750,38325,7939,5557,Yes,2016,Walk-Up Apartments,9,80555,1,5,76,79,1900, , 
1021070020,"936 ST NICHOLAS' AVENUE
Manhattan, NY 10032
(40.83225487826157, -73.94089239244312)",Con Edison,NEIGHBORHOOD RESTORE HDFC,UHAB H.D.F.C.,"129 09 26TH AVENUE
FLUSHING, NY 11354
(40.76862022064671, -73.82719028070687)",CA084885Y,7/4/05, EDERAL FST 125,1,5.3,1985,2020, ,21 to 26 years old,HEV-E-OIL M M 54 (P),#4,54750,38325,7939,5557,Yes,2017,Elevator Apartments,7,68160,1,6,52,52,1909, ,YES
1014090040,"196 75 STREET
Manhattan, NY 10021
(40.77169805559608, -73.95925948967252)",Con Edison,196 OWNER'S CORPORATION,196 OWNERS CORP,"4 PARK AVENUE
MANHATTAN, NY 10016
(40.74650915812013, -73.98194367109245)",CA062178H,7/5/05,ROCKMILLS MP-4-133,2,10.6,1978,2013, ,31 to 35 years old,I.C.I. DE 54-S,#6,54750,38325,8212,5749,Yes,2019,Elevator Apartments,4,162750,1,20,136,141,1961, ,YES
1018890072,"299 RIVERSIDE DRIVE
Manhattan, NY 10025
(40.7996816446629, -73.97190264485323)",Con Edison,299 OWNERS CORP./ EISENSTEI,299 OWNERS CORP,"244 54 STREET
NEW YORK, NY 10019
(40.76442650904829, -73.98344366694857)",CA045676X,7/6/05,ROCKMILL MP150,1,5.3,1976,2011, ,31 to 35 years old,1C1-DE63S,#6,54750,38325,8212,5749,Yes,2019,Elevator Apartments,9,94804,1,12,57,57,1911, ,YES
1014710045,"400 77 STREET
Manhattan, NY 10075
(40.77096626174236, -73.95359056348057)",Con Edison,400 E. 77TH ST. OWNERS CORP. % THE ARGO,400 E 77 ST CORP,"50 17 STREET
NEW YORK, NY 10011
(40.73891274307704, -73.99459526011185)",CB043008Y,7/6/05,BEST 5C - 200 (NEW),1,6.6,2008,2043,DUAL FUEL,Fewer than 5 years old,ICI DEG - 84P (NEW),#6,54750,38325,8212,5749,Yes,2021,Elevator Apartments,5,168680,1,18,157,160,1964, ,YES
1021580016,"450 AUDUBON AVENUE
Manhattan, NY 10040
(40.85283915099543, -73.92938461509986)",Con Edison,450 AUDUBON/FAS REALTY COMPANY,BLAIR VENTURES LLC,"243 FIFTH AVENUE
NEW YORK, NY 10016
(40.74447954643841, -73.98743665675863)",CA024298P,7/5/05,FEDERAL  FM-1822,1,5.25,1998,2033,DUAL FUEL,11 to 15 years old,INDUSTRIAL COMB. DEG-54 P,#6,54750,38325,8212,5749,Yes,2018,Office Buildings,10,66240,1,6,68,71,1911, , 
1011660007,"245 74 STREET
Manhattan, NY 10023
(40.78070385152674, -73.98245728887927)",Con Edison,JADAM EQUITIES LLC.,ALFIE ARMS CORP,"345 SEVENTH AVE
NEW YORK, NY 11001
(40.74814878031799, -73.99271567707063)",CA096981M,7/6/05,FEDERAL FST 150,1,6.2,1981,2016, ,26 to 30 years old,ICI DEG 63 P,#6,54750,38325,8212,5749,Yes,2016,Elevator Apartments,6,75312,1,10,59,59,1924, ,YES
1022000009,"428 204 STREET
Manhattan, NY 10034
(40.86198503992059, -73.91904979666887)",Con Edison,LELME & WOLFF INC.,VERMILYEA WEST ASSOCI,"5925 BROADWAY
BRONX, NY 10463
(40.888406443876256, -73.899128719106)",CA169880H,7/7/05,BURNHAM 3-125-50,1,5.2,1980,2015, ,26 to 30 years old,ICI MEG 54 P,#6,54750,38325,8212,5749,Yes,2020,Elevator Apartments,10,52605,3,5,83,83,1915, , 
1005750077,"55 11 STREET
Manhattan, NY 10011
(40.73479404722639, -73.99679992027617)",Con Edison,LIANT RECORDS INCORPORATE,LIANT RECORD LLC,"271 MADISON AVENUE
MANHATTAN, NY 10016
(40.75118848877702, -73.98044892459097)",CA030680R,7/5/05,ROCKMILLS MP125,1,5.3,1980,2015, ,26 to 30 years old,HEVEOIL DEG54P,#6,54750,38325,8212,5749,Yes,2015,Elevator Apartments,3,63943,1,9,87,88,1924, , 
1007710038,"201 21 STREET
Manhattan, NY 10011
(40.74286687987784, -73.99664135387938)",Con Edison,NEW BEDFORD MGMT,201 WEST 21 ST TENANT,"210 23rd STREET
MANHATTAN, NY 10011
(40.74422062570959, -73.99600717354672)",CA030378X,7/7/05,ROCKMILLS MP 4-133,1,5.2,1978,2013, ,31 to 35 years old,HEVEOIL DE 54 S,#6,54750,38325,8212,5749,Yes,2021,Elevator Apartments,3,80977,1,14,130,133,1963, ,YES
1013610007,"10 MITCHELL PLACE
Manhattan, NY 10017
(40.752978625833535, -73.96655249131793)",Con Edison,STEWART HALL INC.,STEWART HALL INC,"5 86TH STREET
MANHATTAN, NY 10028
(40.78148186083539, -73.96023726443946)",CA068472X,7/5/05,HEGGIE SIMPLEX 319,1,4.2,1972,2010, ,36 - 40 year old,TODD A04-5 S,#6,54750,38325,8212,5749,Yes,2021,Walk-Up Apartments,5,67000,1,13,99,101,1931, ,YES
1020460025,"196 BRADHURST AVENUE
Manhattan, NY 10039
(40.827316098557276, -73.93993446717104)",Con Edison,TRYAX REALTY MGMT INC.,BRADHURST ASSOCIATES,"60 CUTTER MILL RD
GREAT NECK, NY 11021
(40.78585735300652, -73.73112088518786)",CA229482Y,7/5/05,ROCKMILLS MP-150,1,5.2,1982,2017, ,26 to 30 years old,IND COMB INC DE-63(P),#6,54750,38325,8212,5749,,,Elevator Apartments,7,30720,1,6,41,41,1910, , 
1018430032,"473 CENTRAL PARK
Manhattan, NY 10025
(40.79893421250355, -73.95943259417953)",Con Edison,UPWEST COMPANY,"UPWEST CO., LLC","474 CENTRAL PARK
MANHATTAN, NY 10025
(40.79685012763133, -73.96372581059762)",CA106886K,7/6/05,ROCKMILLS MP 150,1,6.27,1986,2021, ,21 to 26 years old,INDUSTRIAL COMBUSTION DEG 63,#6,54750,38325,8212,5749,,,Walk-Up Apartments,8,8685,1,5,19,19,1941, , 
1014920049,"30 81 STREET
Manhattan, NY 10028
(40.77758565475194, -73.96113059162586)",Con Edison,81ST REALTY CORP.,81ST REALTY CORP,,CA033578Y,7/5/05,FEDERAL #FST 125,1,5.2,1978,2013, ,31 to 35 years old,HEV-E-OIL #DE 54 S,#6,54541,38179,8181,5727,Yes,2022,Elevator Apartments,4,60858,1,13,55,60,1955, , 
1011420024,"117 70 STREET
Manhattan, NY 10023
(40.77644301748253, -73.98050755546609)",Con Edison,DANIEL TORRES,"AMDA STRATFORD ARMS,I","211 61ST STREET
MANHATTAN, NY 10023
(40.77185719208424, -73.98705862643573)",CA186781R,7/7/05,ROCKMILLS - MP 125,1,5.2,1981,2016, ,26 to 30 years old,INDUSTRIAL COMBUSTION - DEG-54(P),#6,54422,38095,8163,5714,Yes,2022,Walk-Up Apartments,6,75313,1,10,0,1,1928, , 
1021800078,"2 MAGAW PLACE
Manhattan, NY 10033
(40.85104920691049, -73.93720952142223)",Con Edison,2-8-16 MAGAN PLACE OWNERS,2-8-16 MAGAW PL OWNER,,CA187685L,7/7/05,FEDERAL #FST-125,1,5.2,1985,2020, ,21 to 26 years old,INDUS COMBU #DEG-54-P,#6,54202,37941,8130,5691,Yes,2020,Walk-Up Apartments,7,50655,1,5,60,60,1940, ,YES
